Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_11DIV_14-04-2023,00001.004400,A3_13,8,0.02224
Description,"WT hippocampal culture. Basal activity measured on 14.04.23, 11DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914


",00001.808800,A6_22,7,0.04248
,,00002.343200,C1_23,7,0.12192
Maestro Edge (Maestro-) Settings,,00002.342640,C1_33,14,0.11248
   Original File Time,04/14/2023 15:04:02,00002.383680,C1_43,15,0.07512
   Sampling Frequency,12.5 kHz,00002.924320,A6_21,5,0.0304
   Voltage Scale,5.484861781483107E-08 V/sample,00002.921120,A6_22,8,0.10664
   Experiment Start Time,04/14/2023 15:03:44,00003.261280,C1_13,5,0.13464
   Referencing Method,Median,00003.205360,A6_22,7,0.0236
   Acquire Viability,On,00003.305040,C1_23,15,0.22664
   Analog Mode Setting,Neural Spikes,00003.252720,C1_33,5,0.18168
   Plate Type,CytoView MEA 24,00003.574160,A2_11,5,0.01
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.562640,A2_33,8,0.02624
   Digital High Pass Filter,200 Hz IIR,00003.488400,A2_34,7,0.15064
   Temperature Set Point,37.0 Degrees C,00003.562560,A2_21,9,0.1108
   Current Temperature,37.0 Degrees C,00003.641440,A3_14,18,0.25472
   Heater Power,On,00003.904400,A3_21,6,0.03536
   Barcode Plate Type,TwentyFourWell,00003.891360,A3_12,8,0.06496
   Plate Serial Number,100-0914,00003.635120,A3_13,76,0.36832
   CO2 Conc. Set Point,5.0 %,00003.713200,A3_24,34,0.23272
   Actual CO2 Conc.,5.0 %,00003.691840,A3_34,17,0.2512
   Gas Mixer Status,Regulating,00003.717200,A3_44,46,0.23192
   AxIS Version,3.6.2.2,00003.722000,A3_43,31,0.24392
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00003.888000,A6_21,7,0.02264
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00003.836160,A6_22,9,0.07896
,,00004.321920,A3_13,6,0.01752
AxIS Playback,,00004.251280,B6_33,6,0.05168
   AxIS Version,3.6.2.2,00004.158720,A2_34,7,0.258
   File Name,Baseline_WT hippocampal culture_11DIV_14-04-2023(000).raw,00004.832400,B3_32,8,0.06728
   Plate Type,CytoView MEA 24,00004.802880,B4_34,6,0.0352
   Requested File Section,0s to 9m57s,00004.803920,B4_43,13,0.12576
   Actual File Section Run,0s to 9m57s,00004.812720,D4_42,18,0.14112
   Recording Offset from File Start,0s,00004.795280,D4_32,7,0.1808
,,00005.369920,B3_14,6,0.02808
Spike Detector Settings,,00005.170080,A6_21,16,0.05776
   Method,Adaptive Threshold Crossing,00005.172320,A6_22,15,0.04824
   Threshold,6,00006.652080,B1_33,7,0.09152
   Threshold Status,Variable,00006.648080,B1_32,5,0.06312
   Threshold Crossing Only,True,00006.979920,B4_34,8,0.05008
   Pre-Spike Duration,0.84 ms,00007.011840,B4_43,8,0.02904
   Post-Spike Duration,2.16 ms,00007.248000,B4_33,29,0.13096
   Coincident Event Filter,Default (Well),00007.224240,B4_34,23,0.16456
   Coincidence Occurrence Threshold,4 Electrodes,00007.251920,B4_42,14,0.13064
   Coincidence Event Window,160 µs,00007.265360,B4_32,6,0.06024
   Allow Sample Overlap,false,00007.239680,A6_21,21,0.07872
   Spike Count Interval,1 s,00007.241920,A6_22,14,0.08
,,00007.178320,B4_43,48,0.37408
Burst Detector Settings,,00008.536720,B1_33,6,0.02568
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00008.507840,C2_11,9,0.1012
   Maximum Inter-Spike Interval,100 ms,00008.654400,D1_42,5,0.04696
   Minimum Number of Spikes,5,00008.523840,C2_12,7,0.1876
   Enable Network Burst Detection,True,00008.521280,C2_14,14,0.32176
   Maximum Inter-Spike Interval (network bursts),100 ms,00009.628480,B3_14,6,0.01536
   Minimum Number of Spikes (network bursts),50,00009.706000,A3_44,6,0.0744
   Minimum Participating Electrodes (%),35,00010.035760,A6_22,8,0.05552
   Synchrony Window,20 ms,00010.824560,A6_21,6,0.01224
,,00010.822960,A6_22,9,0.0332
,,00011.101200,B3_31,18,0.1992
,,00011.221200,B3_11,5,0.03064
,,00011.196640,B3_14,22,0.07584
,,00011.215680,B3_33,6,0.03896
,,00011.119520,B3_34,26,0.14224
,,00011.101200,B3_32,32,0.15704
,,00011.105840,B3_43,52,0.16432
,,00011.112720,B3_44,16,0.14064
,,00011.102160,B3_42,36,0.16328
,,00011.795680,A6_22,14,0.09528
,,00011.957360,C1_23,7,0.0768
,,00011.939520,C1_33,23,0.0944
,,00011.939200,C1_43,14,0.094
,,00011.937760,D4_42,9,0.05096
,,00011.811200,C5_44,10,0.18056
,,00011.815440,A6_21,12,0.10856
,,00012.623520,C3_12,5,0.0496
,,00012.769120,B4_43,5,0.02696
,,00013.106240,A6_22,8,0.1336
,,00013.517280,D1_21,10,0.08704
,,00013.606560,D1_42,6,0.05856
,,00013.761200,A6_21,6,0.01664
,,00013.756880,A6_22,10,0.09608
,,00014.421600,A6_22,5,0.01184
,,00015.200480,C3_12,5,0.06936
,,00015.155200,A6_21,7,0.02848
,,00015.154720,A6_22,7,0.02136
,,00015.225520,B6_33,5,0.02008
,,00015.941760,D4_42,16,0.11992
,,00016.244960,C3_24,5,0.09032
,,00016.109920,A6_22,5,0.06368
,,00016.378480,A2_34,5,0.0852
,,00016.611360,A2_34,8,0.03488
,,00016.536560,A2_32,7,0.10808
,,00016.622480,A2_21,12,0.07656
,,00016.630080,A2_11,6,0.02104
,,00016.624720,A2_33,10,0.0464
,,00016.871120,A6_21,10,0.04496
,,00016.873200,A6_22,8,0.03496
,,00017.132720,B3_14,6,0.03336
,,00017.384400,A3_13,6,0.0168
,,00017.673680,A6_22,11,0.1036
,,00018.269200,A6_22,5,0.02168
,,00018.446000,D4_42,10,0.04136
,,00019.015920,A6_21,5,0.05024
,,00019.017360,A6_22,11,0.05352
,,00019.233760,D3_24,5,0.02168
,,00019.960640,B1_33,6,0.01576
,,00019.956720,B1_32,6,0.01712
,,00019.996320,A6_21,5,0.02392
,,00019.995200,A6_22,6,0.02648
,,00020.187840,A3_13,9,0.0228
,,00020.514560,B6_33,5,0.04352
,,00020.668640,B4_33,5,0.03192
,,00020.621280,B4_34,7,0.06272
,,00020.632720,B4_43,16,0.1644
,,00020.672080,B4_32,7,0.16832
,,00020.893920,A6_21,5,0.02704
,,00020.893440,A6_22,9,0.03584
,,00021.703200,A6_21,5,0.016
,,00021.702000,A6_22,6,0.01808
,,00021.880320,C1_33,23,0.13272
,,00021.885520,C1_43,15,0.10968
,,00021.996000,A3_13,6,0.01784
,,00022.429920,B1_33,7,0.06784
,,00022.481920,B1_32,9,0.10088
,,00022.897360,A6_21,6,0.02496
,,00022.896800,A6_22,5,0.01992
,,00023.890000,B3_32,9,0.04072
,,00023.888080,B3_43,9,0.08592
,,00023.907040,B3_42,6,0.01904
,,00023.759840,A6_22,9,0.16816
,,00024.312480,B4_34,5,0.02384
,,00024.290640,B6_14,8,0.04232
,,00024.302880,B6_11,5,0.03744
,,00024.278080,B6_33,13,0.0788
,,00024.285920,B6_23,5,0.0408
,,00024.196560,B6_34,9,0.12992
,,00024.301360,B6_44,5,0.01376
,,00024.685120,C3_12,10,0.10576
,,00024.877200,A1_21,66,0.19632
,,00024.914560,A1_31,10,0.07376
,,00024.961760,A1_13,17,0.11096
,,00024.952800,A1_23,37,0.12488
,,00024.956800,A1_34,10,0.11944
,,00024.963680,A1_42,7,0.1044
,,00024.898240,A6_21,7,0.02008
,,00024.820560,A6_22,13,0.09328
,,00025.238000,B3_14,6,0.01528
,,00025.968720,D3_24,6,0.05512
,,00026.029440,A6_22,6,0.0336
,,00026.508960,D3_33,7,0.09368
,,00026.511840,D3_24,16,0.10464
,,00026.507040,A4_32,21,0.13888
,,00026.810240,A6_22,5,0.07584
,,00027.188400,D1_31,5,0.04504
,,00027.736160,A6_22,6,0.14616
,,00027.872560,C3_12,5,0.05304
,,00028.496880,B6_33,7,0.03336
,,00028.524800,B6_44,5,0.02144
,,00028.912240,B3_11,10,0.22168
,,00029.115440,B3_23,5,0.02984
,,00028.915920,B3_24,5,0.21576
,,00028.795280,B3_44,15,0.21192
,,00028.867920,B3_31,33,0.30056
,,00028.802560,B3_14,51,0.3628
,,00028.793440,B3_34,36,0.3576
,,00028.867360,B3_32,46,0.29024
,,00028.869680,B3_43,50,0.28488
,,00029.109440,B3_44,12,0.04064
,,00028.871520,B3_42,45,0.28552
,,00029.634800,B4_43,8,0.10264
,,00029.833520,B5_13,6,0.09312
,,00029.843040,B5_21,21,0.13736
,,00029.862640,B5_31,10,0.07616
,,00029.978800,A6_21,9,0.0324
,,00029.861680,A6_22,17,0.15472
,,00030.430160,A2_21,12,0.0464
,,00030.443200,A2_11,9,0.04264
,,00030.424880,A2_33,8,0.08752
,,00030.447360,A2_34,7,0.0232
,,00030.446720,A2_32,5,0.02968
,,00030.893280,B1_33,10,0.05304
,,00031.041520,A6_22,5,0.01368
