Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_21DIV_24-04-2023,00122.971920,B6_14,7,0.0272
Description,"WT hippocampal culture. Basal activity measured on 24.04.23, 21DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00122.863920,B6_33,18,0.17008
Maestro Edge (Maestro-) Settings,,00122.967520,B6_23,10,0.03176
   Original File Time,04/24/2023 15:05:03,00122.964000,B6_34,11,0.03544
   Sampling Frequency,12.5 kHz,00122.973040,B6_44,8,0.03976
   Voltage Scale,5.484861781483107E-08 V/sample,00123.223920,A2_21,5,0.0128
   Experiment Start Time,04/24/2023 15:04:44,00123.439440,D3_24,5,0.10416
   Referencing Method,Median,00123.874000,D1_33,8,0.02536
   Acquire Viability,On,00123.876240,D1_34,5,0.01952
   Analog Mode Setting,Neural Spikes,00123.887840,D1_21,26,0.12832
   Plate Type,CytoView MEA 24,00123.886640,D1_31,18,0.08272
   Digital Low Pass Filter,3 kHz Kaiser Window,00123.875600,D1_24,16,0.0484
   Digital High Pass Filter,200 Hz IIR,00123.876400,D1_42,15,0.09448
   Temperature Set Point,37.0 Degrees C,00124.046560,B4_24,9,0.04288
   Current Temperature,37.0 Degrees C,00124.044320,B4_43,11,0.0316
   Heater Power,On,00125.600400,A1_41,14,0.11736
   Barcode Plate Type,TwentyFourWell,00125.589600,A1_21,38,0.20416
   Plate Serial Number,100-0914,00125.597840,A1_31,20,0.11312
   CO2 Conc. Set Point,5.0 %,00125.594000,A1_11,13,0.11848
   Actual CO2 Conc.,5.0 %,00125.580320,A1_13,37,0.13656
   Gas Mixer Status,Regulating,00125.604320,A1_22,13,0.10336
   AxIS Version,3.6.2.2,00125.580800,A1_23,42,0.1348
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00125.612160,A1_14,6,0.0936
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00125.606160,A1_33,17,0.10144
,,00125.583760,A1_34,42,0.13096
Spike Detector Settings,,00125.652800,A1_43,10,0.05744
   Method,Adaptive Threshold Crossing,00125.644880,C4_11,7,0.0928
   Threshold,6,00125.665120,C4_21,5,0.0872
   Threshold Status,Variable,00125.876160,A6_12,25,0.08528
   Threshold Crossing Only,True,00125.874720,A6_11,27,0.0856
   Pre-Spike Duration,0.84 ms,00125.880480,A6_42,14,0.07752
   Post-Spike Duration,2.16 ms,00125.882880,A6_32,12,0.07744
   Coincident Event Filter,Default (Well),00125.873680,A6_21,35,0.0924
   Coincidence Occurrence Threshold,4 Electrodes,00125.888960,A6_31,16,0.066
   Coincidence Event Window,160 µs,00125.874400,A6_22,33,0.09488
   Allow Sample Overlap,false,00126.373280,D1_33,10,0.03744
   Spike Count Interval,1 s,00126.374880,D1_24,15,0.04072
,,00126.375440,D1_34,6,0.03712
Burst Detector Settings,,00126.442720,D3_24,5,0.10624
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00126.382160,D1_21,76,0.41184
   Maximum Inter-Spike Interval,100 ms,00126.390400,D1_31,56,0.35936
   Minimum Number of Spikes,5,00126.558400,D1_22,19,0.24272
   Enable Network Burst Detection,False,00126.561600,D1_33,32,0.24496
   Synchrony Window,20 ms,00126.571200,D1_24,31,0.23128
,,00126.649360,D1_34,19,0.15384
,,00126.376000,D1_42,75,0.43112
,,00126.890880,B6_14,16,0.11424
,,00126.901840,B6_33,24,0.1124
