Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,WT hippocampal culture_22DIV_Agonists Challenge_1h after_25-04-2023,14522.116720,A2_11,5,0.0124
Description,"WT hippocampal culture. Agonists challenge measured on 25.04.23, 22DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",14522.303040,B1_33,6,0.06064
Maestro Edge (Maestro-) Settings,,14522.104080,A2_34,9,0.05552
   Original File Time,04/25/2023 16:46:02,14522.098160,B6_14,7,0.1504
   Sampling Frequency,12.5 kHz,14522.554320,B6_14,10,0.09408
   Voltage Scale,5.484861781483107E-08 V/sample,14522.568000,B6_34,5,0.0136
   Experiment Start Time,04/25/2023 12:45:44,14523.051520,B4_33,13,0.05136
   Referencing Method,Median,14523.049920,B4_34,5,0.01512
   Acquire Viability,On,14523.053360,B4_24,18,0.04952
   Analog Mode Setting,Neural Spikes,14523.054560,B4_42,10,0.0412
   Plate Type,CytoView MEA 24,14523.051040,B4_43,11,0.04768
   Digital Low Pass Filter,3 kHz Kaiser Window,14523.056720,B4_21,6,0.04016
   Digital High Pass Filter,200 Hz IIR,14523.016080,A6_11,5,0.01968
   Temperature Set Point,37.0 Degrees C,14523.015760,A6_21,9,0.02208
   Current Temperature,37.0 Degrees C,14523.013840,A6_22,11,0.03136
   Heater Power,On,14523.031200,B6_34,7,0.02248
   Barcode Plate Type,TwentyFourWell,14523.372640,B6_44,5,0.02672
   Plate Serial Number,100-0914,14523.380320,B3_43,5,0.03688
   CO2 Conc. Set Point,5.0 %,14523.417040,B6_33,5,0.05
   Actual CO2 Conc.,5.0 %,14523.525040,D1_22,5,0.1264
   Gas Mixer Status,Regulating,14523.325360,D1_33,18,0.33728
   AxIS Version,3.6.2.2,14523.327600,D1_24,49,0.36592
   Maestro Edge (Maestro-) Firmware,3.6.2.2,14523.328000,D1_42,36,0.34392
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,14523.901440,D1_21,7,0.12192
,,14523.898000,D1_31,7,0.122
Spike Detector Settings,,14523.848000,D1_24,36,0.2304
   Method,Adaptive Threshold Crossing,14524.264960,D1_31,5,0.05992
   Threshold,6,14524.250240,B6_44,5,0.07672
   Threshold Status,Variable,14524.453280,B4_34,5,0.01104
   Threshold Crossing Only,True,14524.456240,B4_42,5,0.01024
   Pre-Spike Duration,0.84 ms,14524.453040,B4_43,7,0.01632
   Post-Spike Duration,2.16 ms,14524.416080,A5_14,8,0.05648
   Coincident Event Filter,Default (Well),14524.446960,A5_13,6,0.0236
   Coincidence Occurrence Threshold,4 Electrodes,14524.444560,A5_21,7,0.03256
   Coincidence Event Window,160 µs,14525.014640,B6_33,5,0.08888
   Allow Sample Overlap,false,14525.619360,D1_21,9,0.2444
   Spike Count Interval,1 s,14525.616000,D1_31,10,0.22416
,,14525.650640,B1_33,35,0.19224
Burst Detector Settings,,14525.654560,B1_32,29,0.21016
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,14525.652160,B1_44,5,0.14552
   Maximum Inter-Spike Interval,100 ms,14525.744320,B1_42,5,0.0572
   Minimum Number of Spikes,5,14525.785680,B6_14,5,0.03488
   Enable Network Burst Detection,False,14525.848800,D3_21,27,0.07784
   Synchrony Window,20 ms,14525.845680,D3_23,9,0.0772
,,14525.846480,D3_33,19,0.07176
,,14525.860720,D3_34,9,0.062
,,14525.850480,D3_32,12,0.06776
,,14525.762880,C3_24,42,0.30008
,,14525.867760,B6_33,5,0.10848
,,14526.128240,B1_33,6,0.08904
,,14526.319520,A2_21,5,0.0116
,,14526.460000,B6_14,5,0.0816
,,14526.879840,B6_14,9,0.1348
,,14526.893040,B6_33,6,0.04272
,,14526.895680,B6_34,7,0.02792
,,14527.082800,C4_11,24,0.13552
,,14527.176880,C4_31,10,0.1624
,,14527.349920,A6_11,6,0.02328
,,14527.349680,A6_21,8,0.0236
,,14527.347520,A6_22,9,0.02656
,,14527.158640,C4_21,33,0.2536
,,14527.476560,B6_34,5,0.01024
,,14527.686560,B6_14,5,0.10896
,,14528.084400,A2_21,5,0.02536
,,14528.085600,A2_14,5,0.01
,,14528.078640,A2_33,5,0.012
,,14528.080400,A2_34,7,0.04392
,,14528.030640,B3_21,10,0.04296
,,14528.030720,B3_31,16,0.07352
,,14528.032880,B3_11,5,0.03856
,,14528.032000,B3_12,14,0.048
,,14528.030160,B3_22,5,0.01112
,,14528.024240,B3_23,7,0.02544
,,14528.022800,B3_14,15,0.06256
,,14528.023760,B3_33,12,0.03336
,,14528.023040,B3_24,8,0.02608
,,14528.021440,B3_34,13,0.04832
,,14528.024480,B3_32,17,0.05184
,,14528.021920,B3_43,23,0.07728
,,14528.019280,B3_44,13,0.05096
,,14528.024320,B3_42,17,0.07368
,,14528.024320,B6_14,5,0.11112
,,14528.205760,B4_43,7,0.01632
,,14528.117760,B6_44,7,0.14152
,,14528.407760,B6_34,5,0.01344
,,14528.812240,B6_44,5,0.0228
,,14528.996080,B6_33,5,0.09304
,,14528.998800,B6_34,5,0.0112
,,14529.508160,A3_41,9,0.10736
,,14529.524080,A3_21,27,0.12504
,,14529.514160,A3_31,20,0.12744
,,14529.480800,A3_11,25,0.144
,,14529.480560,A3_12,28,0.15336
,,14529.493360,A3_22,41,0.1456
,,14529.499280,A3_23,11,0.1176
,,14529.486000,A3_14,48,0.14208
,,14529.486960,A3_24,50,0.1456
,,14529.490080,A3_34,25,0.12736
,,14529.499360,A3_32,28,0.13432
,,14529.493440,A3_44,50,0.13888
,,14529.493760,A3_43,48,0.1392
,,14529.581120,B4_43,5,0.00992
,,14529.146480,B6_14,7,0.29392
,,14529.493360,A3_13,55,0.16312
,,14529.525440,B6_33,5,0.14152
,,14529.925760,B6_14,8,0.07896
,,14529.978000,B6_33,6,0.06936
,,14530.324640,B2_41,6,0.056
,,14530.276720,B6_44,6,0.0376
,,14530.627920,D1_21,5,0.01088
,,14531.017120,B1_33,18,0.04664
,,14531.020480,B1_32,17,0.04432
,,14530.969600,B4_33,12,0.05072
,,14530.967680,B4_34,6,0.016
,,14530.970080,B4_24,15,0.04624
,,14530.971840,B4_42,8,0.03816
,,14530.967360,B4_43,13,0.05104
,,14530.968800,B4_44,5,0.0116
,,14530.970640,B4_21,7,0.0472
,,14530.844560,B6_14,6,0.2184
,,14531.907920,A2_21,5,0.0116
,,14531.904560,A2_33,5,0.0148
,,14531.906400,A2_34,7,0.0464
,,14532.314080,B6_14,5,0.17136
,,14532.556000,B6_33,5,0.0464
,,14532.853920,B4_43,7,0.016
,,14532.710480,A6_12,5,0.01216
,,14532.706320,A6_21,7,0.0184
,,14532.704800,A6_22,9,0.0236
,,14532.633760,B6_14,7,0.06056
,,14533.114400,D1_24,8,0.02312
,,14532.881040,B6_14,9,0.39576
,,14533.553760,B6_33,5,0.04368
,,14533.974640,B6_34,5,0.0184
,,14534.151680,B4_24,5,0.01752
,,14534.148720,B4_43,7,0.02048
,,14534.685920,B6_14,8,0.17776
,,14535.067040,D1_24,17,0.0612
,,14534.943200,A2_21,8,0.03672
,,14534.946480,A2_11,6,0.03312
,,14535.208240,B6_33,6,0.02672
,,14535.211040,B6_34,5,0.02664
,,14535.578320,B1_33,24,0.0752
,,14535.581680,B1_32,23,0.06896
,,14536.035760,C2_14,14,0.10904
,,14535.867840,D5_12,12,0.13976
,,14535.860160,D5_43,11,0.16336
,,14535.865680,D5_22,43,0.19296
,,14536.193760,D1_24,7,0.02216
,,14536.035520,C2_11,12,0.11688
,,14536.032560,C2_12,10,0.11872
,,14536.031680,B6_14,5,0.12264
,,14536.260160,B6_14,5,0.10488
,,14536.506960,C4_11,26,0.13216
,,14536.389600,B6_44,5,0.0212
,,14536.529360,C4_21,25,0.1852
,,14536.616320,C4_31,6,0.07632
,,14536.922240,A3_41,10,0.12384
,,14536.934720,A3_21,25,0.0904
,,14536.930000,A3_31,16,0.08384
,,14536.891440,A3_11,24,0.13328
,,14536.893680,A3_12,24,0.132
,,14536.900480,A3_13,44,0.1252
,,14536.897840,A3_22,36,0.18184
,,14536.911120,A3_23,9,0.0864
,,14536.894320,A3_14,44,0.1296
,,14536.902320,A3_24,45,0.12432
,,14536.902320,A3_34,27,0.1024
,,14536.912800,A3_32,26,0.1128
,,14536.904800,A3_44,47,0.14272
,,14536.905200,A3_43,43,0.15088
,,14537.049840,B6_33,6,0.09
,,14536.878240,B6_44,5,0.09368
,,14537.238880,B6_14,6,0.16424
,,14537.535760,D1_33,5,0.14256
,,14537.596960,D1_42,17,0.08768
,,14537.647280,B6_44,5,0.03272
,,14537.915840,B6_33,7,0.0772
,,14537.918640,B6_34,7,0.02032
,,14538.515920,B4_43,6,0.09536
,,14538.701040,A6_12,6,0.02184
,,14538.699680,A6_11,6,0.02456
,,14538.699120,A6_21,13,0.03448
,,14538.697120,A6_22,10,0.028
,,14538.428560,B6_14,8,0.23928
,,14539.168720,A2_33,7,0.01912
,,14539.170400,A2_34,6,0.05168
,,14539.554720,B6_44,11,0.0304
,,14539.761520,C3_21,6,0.04216
,,14539.702640,B6_14,5,0.1144
,,14539.820160,C3_24,29,0.28728
,,14539.790160,B6_33,5,0.13208
,,14540.193680,D1_21,19,0.09208
,,14540.153440,D1_31,20,0.23552
,,14540.145280,D1_42,16,0.13776
,,14540.291040,A6_12,32,0.09712
,,14540.292720,A6_11,32,0.1024
,,14540.296560,A6_42,22,0.0804
,,14540.294080,A6_43,19,0.10056
,,14540.295280,A6_32,17,0.08736
,,14540.296720,A6_44,6,0.08872
,,14540.287600,A6_21,39,0.10632
,,14540.294000,A6_31,15,0.0728
,,14540.289040,A6_22,37,0.10808
,,14540.088480,B6_14,5,0.15216
,,14540.524880,B4_33,12,0.06472
,,14540.527280,B4_24,21,0.07696
,,14540.526080,B4_42,9,0.03792
,,14540.521040,B4_43,12,0.0696
,,14540.525120,B4_21,7,0.0624
,,14540.364160,B6_14,10,0.17264
,,14540.595440,B6_33,7,0.14168
,,14541.262640,B6_14,6,0.09888
,,14541.814720,A2_11,6,0.01336
,,14541.541280,B6_14,6,0.17024
,,14541.749360,B6_44,6,0.01744
,,14541.884720,B6_14,6,0.12912
,,14542.206000,B3_21,16,0.04552
,,14542.204560,B3_31,21,0.06344
,,14542.207280,B3_11,8,0.05888
,,14542.206240,B3_12,13,0.0396
,,14542.203840,B3_22,6,0.04416
,,14542.199840,B3_23,8,0.05856
,,14542.146000,B3_14,35,0.17776
,,14542.198800,B3_33,14,0.05504
,,14542.196320,B3_24,15,0.05568
,,14542.198560,B3_34,16,0.06416
,,14542.202720,B3_32,19,0.0512
,,14542.196160,B3_43,26,0.07496
,,14542.193760,B3_44,14,0.0564
,,14542.201040,B3_42,22,0.06688
,,14542.358480,B6_33,5,0.0364
,,14542.295760,B6_14,30,0.34696
,,14542.589120,B6_23,12,0.03256
,,14542.599040,B6_34,6,0.01528
,,14542.462400,D1_21,41,0.25312
,,14542.460320,D1_31,42,0.25192
,,14542.496960,D1_22,5,0.20808
,,14542.356960,D1_42,26,0.3632
,,14542.600240,B6_33,5,0.11304
,,14542.945680,D1_21,14,0.13296
,,14542.943120,D1_31,18,0.14312
,,14542.947760,D1_42,12,0.12552
,,14543.212320,D1_31,10,0.05816
,,14543.218080,D1_42,7,0.0508
,,14543.211760,D1_21,22,0.29352
,,14543.372640,D1_31,12,0.13
,,14543.373440,D1_42,12,0.12992
,,14543.500960,B1_33,9,0.02088
,,14543.505200,B1_32,8,0.0212
,,14543.505440,B1_42,5,0.0228
,,14543.426000,B4_33,7,0.01984
,,14543.426880,B4_24,8,0.0204
,,14543.427680,B4_42,8,0.02008
,,14543.423840,B4_43,10,0.028
,,14543.770560,A2_33,6,0.01352
,,14543.772160,A2_34,6,0.02168
,,14543.913440,D4_14,6,0.11424
,,14544.238720,D3_21,6,0.01488
,,14544.236320,D3_23,6,0.01952
,,14544.236400,D3_33,18,0.07128
,,14544.236880,D3_34,9,0.05912
,,14544.250240,A3_41,8,0.04944
,,14544.263840,A3_21,24,0.11064
,,14544.252880,A3_31,20,0.11384
,,14544.225440,A3_13,54,0.16576
,,14544.236400,A3_22,37,0.14624
,,14544.243920,A3_23,10,0.1152
,,14544.233120,A3_24,50,0.14128
,,14544.229840,A3_34,28,0.13664
,,14544.259920,A3_32,31,0.10512
,,14544.233200,A3_44,48,0.14128
,,14544.220720,A3_11,27,0.182
,,14544.257680,A3_12,31,0.16512
,,14544.223600,A3_14,48,0.21112
,,14544.232880,A3_43,58,0.19896
,,14544.598640,B6_34,10,0.04728
,,14544.596080,B6_33,8,0.06248
,,14545.273360,B6_14,5,0.07272
,,14545.736160,B4_43,5,0.0156
,,14545.841520,A5_13,27,0.18768
,,14545.832400,A5_21,11,0.10784
,,14545.832880,A5_41,5,0.116
,,14545.836480,B6_14,5,0.0836
,,14546.012240,B6_33,5,0.09568
,,14546.460000,B1_33,8,0.1276
,,14546.444960,B6_33,8,0.04808
,,14546.447840,B6_34,7,0.03608
,,14546.790000,B6_14,5,0.14056
,,14547.378080,D1_24,5,0.01176
,,14547.378320,D1_42,6,0.04656
,,14547.522240,A2_33,7,0.01952
,,14547.523840,A2_34,7,0.09904
,,14547.537680,B6_34,5,0.09944
,,14547.480160,A4_12,12,0.2532
,,14547.452640,A4_41,12,0.29232
,,14547.458400,A4_31,15,0.28928
,,14547.513920,B6_33,6,0.19144
,,14547.862480,A4_12,9,0.1888
,,14547.458720,A4_32,54,0.61832
,,14547.849600,A4_41,9,0.21992
,,14547.849360,A4_31,7,0.15008
,,14548.454640,D1_24,6,0.01472
,,14548.455760,D1_42,5,0.01096
,,14548.466720,A6_11,6,0.01944
,,14548.466320,A6_21,8,0.02304
,,14548.464800,A6_22,8,0.0224
,,14548.204000,A4_32,45,0.65656
,,14548.498480,A4_44,5,0.33912
,,14548.201120,A4_31,18,0.61472
,,14549.933680,D1_24,5,0.01152
,,14549.868160,B1_33,7,0.06296
,,14549.917840,B1_32,6,0.01392
,,14550.002480,B6_14,9,0.24312
,,14550.709520,B6_33,5,0.10016
,,14551.072080,C4_31,7,0.07072
,,14551.299840,A3_41,9,0.07952
,,14551.321200,A3_21,19,0.07048
,,14551.318880,A3_31,16,0.06952
,,14551.275200,A3_11,18,0.1112
,,14551.285120,A3_12,23,0.10736
,,14551.291760,A3_22,29,0.10608
,,14551.299680,A3_23,8,0.07608
,,14551.285360,A3_34,23,0.09936
,,14551.317200,A3_32,23,0.08016
,,14551.276160,A3_43,41,0.11976
,,14550.969920,C4_11,28,0.18736
,,14551.023440,C4_21,22,0.12784
,,14551.055760,B6_14,5,0.10728
,,14551.124400,B6_33,11,0.27128
,,14551.127200,B6_34,9,0.05
,,14551.479120,D1_24,11,0.05256
,,14551.279680,A3_13,42,0.12512
,,14551.280560,A3_14,40,0.12048
,,14551.287680,A3_24,40,0.12184
,,14551.288080,A3_44,38,0.11744
,,14551.430160,B4_43,6,0.01208
,,14551.533680,B6_44,5,0.02064
,,14552.306160,C2_12,5,0.01056
,,14552.347680,A6_11,6,0.01464
,,14552.347280,A6_21,8,0.01784
,,14552.345040,A6_22,7,0.01864
,,14552.416160,B6_14,5,0.10184
,,14552.897840,B3_21,8,0.01968
,,14552.898960,B3_31,11,0.03
,,14552.901440,B3_11,8,0.0372
,,14552.900080,B3_12,12,0.03416
,,14552.898080,B3_22,5,0.01624
,,14552.821280,B3_23,8,0.09376
,,14552.839680,B3_14,13,0.0936
,,14552.890000,B3_33,9,0.02336
,,14552.839120,B3_24,8,0.06504
,,14552.888880,B3_34,9,0.02672
,,14552.893040,B3_32,12,0.04072
,,14552.887760,B3_43,15,0.05936
,,14552.808960,B3_44,11,0.10648
,,14552.890880,B3_42,15,0.0524
,,14552.816160,B6_33,6,0.14824
,,14553.600480,B1_33,8,0.04376
,,14553.602320,B1_32,6,0.01432
,,14553.415920,B6_14,7,0.0436
,,14554.089200,B4_33,10,0.04024
,,14554.089360,B4_24,15,0.04
,,14554.091040,B4_42,10,0.0316
,,14554.088080,B4_43,11,0.0388
,,14554.090080,B4_21,6,0.04184
,,14554.330480,A2_21,5,0.01112
,,14554.327360,A2_33,5,0.0124
,,14554.328880,A2_34,6,0.02352
,,14553.940960,B6_14,9,0.37224
,,14555.013120,B6_33,5,0.03168
,,14555.821040,B6_33,6,0.02208
,,14556.328080,D1_24,5,0.00984
,,14556.237920,B6_33,5,0.22096
,,14557.005360,B1_33,7,0.01912
,,14557.007440,B1_32,6,0.01336
,,14556.966480,B4_43,5,0.01528
,,14557.078960,B6_44,5,0.02344
,,14557.176720,A3_41,7,0.07304
,,14557.181520,A3_21,22,0.08136
,,14557.179760,A3_31,10,0.0732
,,14557.136320,A3_11,23,0.12448
,,14557.141040,A3_12,26,0.12112
,,14557.141680,A3_13,43,0.1268
,,14557.143120,A3_22,31,0.12152
,,14557.158000,A3_23,10,0.03816
,,14557.141840,A3_14,43,0.12048
,,14557.148880,A3_24,40,0.11704
,,14557.146000,A3_34,26,0.11512
,,14557.162960,A3_32,27,0.1008
,,14557.149760,A3_44,40,0.11904
,,14557.149920,A3_43,43,0.12088
,,14557.604640,B6_34,5,0.01216
,,14557.761440,A5_14,6,0.01592
,,14557.774000,A5_13,13,0.07136
,,14557.765280,A5_21,9,0.03296
,,14557.772000,A5_41,5,0.02904
,,14557.815760,B6_14,9,0.1088
,,14558.020000,B6_33,5,0.03928
,,14558.510720,B6_33,5,0.05008
,,14558.642400,B6_14,6,0.18448
,,14558.875840,A2_34,7,0.06144
,,14559.000960,A6_42,25,0.14864
,,14559.000240,A6_32,17,0.14696
,,14558.886960,B6_44,5,0.02464
,,14558.995280,A6_12,39,0.16528
,,14558.995440,A6_11,34,0.15696
,,14559.045280,A6_43,24,0.10856
,,14558.995680,A6_21,59,0.27488
,,14559.035920,A6_31,18,0.11568
,,14558.994320,A6_22,49,0.16688
,,14559.883680,C2_14,6,0.01608
,,14559.735680,B6_14,5,0.16208
,,14559.635120,B6_33,5,0.08952
,,14559.888640,C2_34,5,0.05456
,,14560.019120,D3_21,33,0.11464
,,14560.017120,D3_23,9,0.09016
,,14559.942560,D3_33,29,0.16272
,,14560.006320,D3_34,16,0.10992
,,14559.836320,D3_32,13,0.2724
