Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,WT hippocampal culture_22DIV_Agonists Challenge_25-04-2023,10802.576160,A3_22,5,0.05752
Description,"WT hippocampal culture. Agonists challenge measured on 25.04.23, 22DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",10803.195840,A6_12,22,0.11136
Maestro Edge (Maestro-) Settings,,10803.194400,A6_11,26,0.11168
   Original File Time,04/25/2023 15:44:02,10803.199200,A6_42,15,0.09528
   Sampling Frequency,12.5 kHz,10803.247040,A6_43,12,0.04768
   Voltage Scale,5.484861781483107E-08 V/sample,10803.199920,A6_32,11,0.10168
   Experiment Start Time,04/25/2023 12:45:44,10803.193840,A6_21,40,0.12328
   Referencing Method,Median,10803.248720,A6_31,11,0.04416
   Acquire Viability,On,10803.192080,A6_22,37,0.12536
   Analog Mode Setting,Neural Spikes,10803.534560,D1_21,32,0.11344
   Plate Type,CytoView MEA 24,10803.534720,D1_31,10,0.10488
   Digital Low Pass Filter,3 kHz Kaiser Window,10803.492480,D1_22,31,0.14512
   Digital High Pass Filter,200 Hz IIR,10803.487680,C1_23,12,0.11208
   Temperature Set Point,37.0 Degrees C,10803.450960,C1_33,27,0.14176
   Current Temperature,37.0 Degrees C,10803.511920,C1_43,33,0.10848
   Heater Power,On,10803.311440,B6_14,72,0.3284
   Barcode Plate Type,TwentyFourWell,10803.333600,B6_12,9,0.08128
   Plate Serial Number,100-0914,10803.311840,B6_11,21,0.11056
   CO2 Conc. Set Point,5.0 %,10803.317440,B6_33,27,0.11128
   Actual CO2 Conc.,5.0 %,10803.308800,B6_23,30,0.23432
   Gas Mixer Status,Regulating,10803.317200,B6_34,24,0.11736
   AxIS Version,3.6.2.2,10803.322560,B6_44,34,0.2528
   Maestro Edge (Maestro-) Firmware,3.6.2.2,10803.451760,D1_24,17,0.33024
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,10804.056000,B3_14,7,0.02408
,,10804.070560,B3_43,5,0.02232
Spike Detector Settings,,10804.058320,B3_42,6,0.02336
   Method,Adaptive Threshold Crossing,10803.846960,A3_22,6,0.22656
   Threshold,6,10804.787680,A1_41,13,0.05944
   Threshold Status,Variable,10804.782800,A1_21,29,0.07664
   Threshold Crossing Only,True,10804.813760,A1_31,12,0.03728
   Pre-Spike Duration,0.84 ms,10804.779360,A1_11,7,0.06496
   Post-Spike Duration,2.16 ms,10804.811520,A1_22,8,0.03776
   Coincident Event Filter,Default (Well),10804.812720,A1_43,6,0.03592
   Coincidence Occurrence Threshold,4 Electrodes,10805.018400,A1_21,12,0.04904
   Coincidence Event Window,160 µs,10804.803040,A1_13,21,0.11
   Allow Sample Overlap,false,10805.016240,A1_13,7,0.0364
   Spike Count Interval,1 s,10804.800400,A1_23,25,0.11904
,,10805.020960,A1_23,9,0.03392
Burst Detector Settings,,10804.810320,A1_33,12,0.09424
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,10804.802080,A1_34,45,0.2584
   Maximum Inter-Spike Interval,100 ms,10805.247840,D1_21,27,0.1364
   Minimum Number of Spikes,5,10805.233680,D1_31,28,0.15064
   Enable Network Burst Detection,False,10805.221520,D1_33,8,0.118
   Synchrony Window,20 ms,10805.223120,D1_24,10,0.04328
,,10805.224160,D1_42,29,0.1516
,,10805.213120,A1_14,5,0.10152
,,10805.120240,A2_21,23,0.06496
,,10805.123760,A2_11,24,0.06576
,,10805.129200,A2_12,9,0.04968
,,10805.125440,A2_13,23,0.05832
,,10805.127600,A2_14,21,0.0576
,,10805.119680,A2_33,26,0.0704
,,10805.121440,A2_34,27,0.0664
,,10805.121440,A2_32,26,0.06704
,,10805.120480,A2_43,20,0.05952
,,10805.120400,A2_44,20,0.06048
,,10805.122320,A2_42,17,0.05704
,,10805.221040,A1_12,12,0.42472
,,10805.210400,A1_33,26,0.43784
,,10805.617600,D1_21,18,0.10952
,,10805.625440,D1_31,20,0.10168
,,10805.641120,D1_42,11,0.086
,,10805.227440,A1_41,62,0.46448
,,10805.215200,A1_21,96,0.492
,,10805.222320,A1_31,35,0.4304
,,10805.220800,A1_11,24,0.43128
,,10805.211120,A1_13,75,0.50184
,,10805.219680,A1_22,17,0.43064
,,10805.209840,A1_23,82,0.51784
,,10805.205600,A1_34,96,0.53648
,,10805.221840,A1_43,16,0.4296
,,10806.601520,C2_14,5,0.01312
,,10806.824640,A3_22,5,0.04008
,,10806.603680,C4_11,22,0.14256
,,10806.603680,C4_21,26,0.1372
,,10806.612480,C4_31,10,0.11792
,,10807.069840,C1_11,7,0.01632
,,10807.354480,C1_11,9,0.02488
,,10807.341280,C1_12,5,0.03144
,,10807.076880,C1_13,18,0.07384
,,10807.328720,C1_13,11,0.04592
,,10807.078400,C1_33,56,0.2944
,,10807.227120,C1_24,5,0.12064
,,10807.084000,C1_43,28,0.09864
,,10807.299920,C1_43,21,0.07072
,,10807.077360,C1_23,53,0.44176
,,10807.433680,A3_22,6,0.20656
,,10807.664480,B6_44,9,0.0272
,,10807.924240,A3_41,7,0.03264
,,10807.950480,A3_21,18,0.07312
,,10807.947600,A3_31,14,0.05144
,,10807.899840,A3_11,18,0.12896
,,10807.905760,A3_12,31,0.12184
,,10807.905520,A3_13,42,0.12616
,,10807.757360,A3_22,7,0.20864
,,10807.926880,A3_23,6,0.0328
,,10807.902800,A3_14,45,0.13088
,,10807.912800,A3_24,44,0.12056
,,10807.904160,A3_34,26,0.12064
,,10807.917360,A3_32,18,0.10384
,,10807.912800,A3_44,39,0.1204
,,10807.901360,A3_43,45,0.13952
,,10807.935760,A4_12,5,0.12024
,,10807.946960,A4_41,8,0.12664
,,10807.944160,A4_31,9,0.12176
,,10807.952880,A4_22,5,0.08816
,,10808.292800,B1_33,8,0.02808
,,10807.947200,A4_32,41,0.43712
,,10808.175840,A4_41,7,0.20768
,,10808.436080,A3_22,19,0.288
,,10808.818160,B2_31,5,0.09208
,,10808.820480,B2_22,25,0.1056
,,10809.248480,D1_21,26,0.08064
,,10809.254560,D1_31,8,0.06688
,,10809.248240,D1_22,27,0.08072
,,10809.256880,D1_24,6,0.06872
,,10809.436320,B6_14,6,0.02288
,,10809.446880,B6_11,5,0.01048
,,10809.443760,B6_33,6,0.0188
,,10809.443440,B6_23,5,0.01224
,,10810.004640,B6_44,5,0.01288
,,10810.000080,A3_22,8,0.15816
,,10811.202960,A6_12,26,0.11784
,,10811.203600,A6_11,28,0.10872
,,10811.208560,A6_42,12,0.09544
,,10811.226480,A6_43,5,0.06856
,,10811.210080,A6_32,14,0.09424
,,10811.203280,A6_21,43,0.11624
