Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,WT hippocampal culture_22DIV_Agonists Challenge_30min after_25-04-2023,12722.500400,B6_33,6,0.01824
Description,"WT hippocampal culture. Agonists challenge measured on 25.04.23, 22DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",12722.696400,D1_24,6,0.01488
Maestro Edge (Maestro-) Settings,,12724.072240,D3_21,5,0.0348
   Original File Time,04/25/2023 16:16:02,12724.224160,B2_41,5,0.04016
   Sampling Frequency,12.5 kHz,12724.194000,A2_34,5,0.03312
   Voltage Scale,5.484861781483107E-08 V/sample,12724.548160,D1_33,5,0.01024
   Experiment Start Time,04/25/2023 12:45:44,12724.553840,C1_11,11,0.04488
   Referencing Method,Median,12724.574480,C1_12,6,0.01624
   Acquire Viability,On,12724.579760,C1_13,5,0.01784
   Analog Mode Setting,Neural Spikes,12724.585600,C1_43,12,0.05848
   Plate Type,CytoView MEA 24,12724.855440,B6_14,6,0.10776
   Digital Low Pass Filter,3 kHz Kaiser Window,12724.876880,B6_33,6,0.06352
   Digital High Pass Filter,200 Hz IIR,12725.560000,B4_43,5,0.01536
   Temperature Set Point,37.0 Degrees C,12725.390080,A6_12,6,0.0292
   Current Temperature,37.0 Degrees C,12725.390800,A6_11,9,0.0368
   Heater Power,On,12725.390560,A6_21,13,0.04008
   Barcode Plate Type,TwentyFourWell,12725.388240,A6_22,13,0.03696
   Plate Serial Number,100-0914,12725.148480,B6_14,18,0.29656
   CO2 Conc. Set Point,5.0 %,12726.346400,B3_11,6,0.02296
   Actual CO2 Conc.,5.0 %,12726.340720,B3_23,7,0.01968
   Gas Mixer Status,Regulating,12726.339040,B3_33,9,0.02496
   AxIS Version,3.6.2.2,12726.336880,B3_24,8,0.02632
   Maestro Edge (Maestro-) Firmware,3.6.2.2,12726.335120,B3_44,15,0.054
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,12725.972880,A3_41,22,0.41408
,,12725.964560,A3_21,48,0.4236
Spike Detector Settings,,12725.957840,A3_31,39,0.42792
   Method,Adaptive Threshold Crossing,12725.943600,A3_11,34,0.44072
   Threshold,6,12725.943520,A3_12,57,0.44784
   Threshold Status,Variable,12725.947600,A3_13,78,0.44568
   Threshold Crossing Only,True,12725.946720,A3_22,64,0.4452
   Pre-Spike Duration,0.84 ms,12725.959760,A3_23,21,0.42784
   Post-Spike Duration,2.16 ms,12725.956720,A3_24,82,0.43824
   Coincident Event Filter,Default (Well),12725.949600,A3_34,44,0.44144
