Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,WT hippocampal culture_23DIV_Agonists Challenge_24h after_26-04-2023,00000.001920,A1_41,38,0.47792
Description,"WT hippocampal culture. Basal activity measured on 26.04.23, 23DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",00000.005280,A1_21,55,0.47504
,,00000.006640,A1_31,27,0.47328
Maestro Edge (Maestro-) Settings,,00000.010880,A1_11,19,0.46704
   Original File Time,04/26/2023 15:46:02,00000.009120,A1_12,13,0.39816
   Sampling Frequency,12.5 kHz,00000.010320,A1_13,47,0.47368
   Voltage Scale,5.484861781483107E-08 V/sample,00000.009520,A1_22,15,0.46768
   Experiment Start Time,04/26/2023 15:45:44,00000.001520,A1_23,46,0.48136
   Referencing Method,Median,00000.009840,A1_33,18,0.46816
   Acquire Viability,On,00000.003600,A1_34,60,0.47944
   Analog Mode Setting,Neural Spikes,00000.010560,A1_43,18,0.46968
   Plate Type,CytoView MEA 24,00000.407840,B4_33,5,0.01192
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.408880,B4_42,8,0.01968
   Digital High Pass Filter,200 Hz IIR,00000.405520,B4_43,9,0.02584
   Temperature Set Point,37.0 Degrees C,00000.607200,A1_41,8,0.08512
   Current Temperature,37.0 Degrees C,00000.608720,A1_21,14,0.0864
   Heater Power,On,00000.610480,A1_31,6,0.07648
   Barcode Plate Type,TwentyFourWell,00000.612160,A1_11,5,0.0788
   Plate Serial Number,100-0914,00000.614240,A1_13,7,0.07872
   CO2 Conc. Set Point,5.0 %,00000.613360,A1_23,12,0.08008
   Actual CO2 Conc.,5.0 %,00000.614400,A1_34,11,0.0796
   Gas Mixer Status,Regulating,00000.609520,D3_21,36,0.11648
   AxIS Version,3.6.2.2,00000.615520,D3_31,5,0.08656
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00000.610880,D3_23,30,0.09704
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00000.621280,D3_33,24,0.11808
,,00000.621920,D3_34,11,0.08944
AxIS Playback,,00000.610560,D3_32,33,0.10192
   AxIS Version,3.6.2.2,00000.567520,D4_14,6,0.09384
   File Name,WT hippocampal culture_23DIV_Agonists Challenge_24h after_26-04-2023(000).raw,00000.632000,B6_33,5,0.16544
   Plate Type,CytoView MEA 24,00000.838800,D3_21,11,0.18872
   Requested File Section,0s to 9m57s,00000.843200,D3_32,10,0.10688
   Actual File Section Run,0s to 9m57s,00001.222480,C3_21,9,0.06128
   Recording Offset from File Start,0s,00001.076000,C3_24,7,0.26376
,,00001.082560,A4_12,14,0.272
Spike Detector Settings,,00001.121440,A4_23,6,0.24456
   Method,Adaptive Threshold Crossing,00001.110800,A4_32,38,0.26312
   Threshold,6,00001.102160,A4_21,10,0.25504
   Threshold Status,Variable,00001.117680,A4_41,6,0.24736
   Threshold Crossing Only,True,00001.102480,A4_22,6,0.10872
   Pre-Spike Duration,0.84 ms,00001.336320,B6_14,7,0.03784
   Post-Spike Duration,2.16 ms,00001.810240,D1_42,21,0.08848
   Coincident Event Filter,Default (Well),00001.842560,A2_34,6,0.0352
   Coincidence Occurrence Threshold,4 Electrodes,00001.819840,D1_21,37,0.1592
   Coincidence Event Window,160 µs,00001.820000,D1_31,19,0.15304
   Allow Sample Overlap,false,00001.922640,D1_22,19,0.05144
   Spike Count Interval,1 s,00001.807680,D1_33,15,0.14888
,,00001.809200,D1_24,25,0.16664
Burst Detector Settings,,00002.242160,B6_14,6,0.03456
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00002.989920,B4_33,5,0.01208
   Maximum Inter-Spike Interval,100 ms,00002.984720,B4_34,6,0.01544
   Minimum Number of Spikes,5,00002.988080,B4_24,9,0.0372
   Enable Network Burst Detection,True,00002.990640,B4_42,6,0.012
   Maximum Inter-Spike Interval (network bursts),100 ms,00002.986880,B4_43,9,0.0216
   Minimum Number of Spikes (network bursts),50,00002.985120,B4_44,6,0.02016
   Minimum Participating Electrodes (%),35,00003.086160,B6_14,7,0.03464
   Synchrony Window,20 ms,00003.171760,B6_33,8,0.18744
,,00003.585520,A5_14,6,0.0348
,,00003.746720,A2_34,5,0.0148
,,00004.310720,A5_13,13,0.08872
,,00004.306480,A5_21,10,0.07944
,,00004.327360,B6_14,6,0.03488
,,00004.490320,A3_41,9,0.10136
,,00004.503120,A3_21,17,0.0912
,,00004.473440,A3_31,16,0.12304
,,00004.453840,A3_11,20,0.14248
,,00004.456480,A3_12,31,0.144
,,00004.458000,A3_13,47,0.14064
,,00004.477440,A3_22,35,0.11592
,,00004.500000,A3_23,6,0.05472
,,00004.456960,A3_14,47,0.13608
,,00004.463920,A3_24,49,0.13904
,,00004.462560,A3_34,24,0.12368
,,00004.469920,A3_32,31,0.11808
,,00004.466400,A3_44,48,0.13696
,,00004.465600,A3_43,45,0.13696
,,00004.335200,A5_14,6,0.11184
,,00004.483760,A6_12,5,0.0248
,,00004.493760,A6_11,6,0.01648
,,00004.480240,A6_21,12,0.0324
,,00004.468800,A6_22,12,0.04528
,,00004.770560,A3_41,8,0.13824
,,00004.771040,A3_21,17,0.1456
,,00004.769760,A3_31,16,0.1532
,,00004.769600,A3_11,13,0.1504
,,00004.769120,A3_12,24,0.15576
,,00004.764480,A3_13,35,0.16768
,,00004.767440,A3_22,22,0.15656
,,00004.769120,A3_23,9,0.1544
,,00004.763680,A3_14,29,0.16344
,,00004.762400,A3_24,34,0.1712
,,00004.760640,A3_34,17,0.16536
,,00004.765680,A3_32,21,0.16008
,,00004.757440,A3_44,42,0.17752
,,00004.761680,A3_43,46,0.1708
,,00005.511200,C2_14,5,0.0116
,,00005.516960,C2_34,7,0.1108
,,00005.444480,B6_14,6,0.03408
,,00006.303680,B6_14,6,0.0412
,,00006.448000,D3_21,11,0.02984
,,00006.457200,D3_23,6,0.0236
,,00006.452960,D3_33,5,0.01664
,,00006.450080,D3_32,6,0.16408
,,00006.478240,D3_44,5,0.07416
,,00006.488000,C4_12,6,0.08152
,,00006.451600,C4_11,33,0.13648
,,00006.488560,C4_21,13,0.12048
,,00006.884800,A2_21,5,0.07224
,,00006.889040,A2_33,7,0.07784
,,00006.881600,A2_34,13,0.1276
,,00006.867760,B6_33,9,0.17624
,,00007.211520,B2_41,5,0.02072
,,00007.402560,B4_33,5,0.00992
,,00007.397360,B4_34,5,0.01376
,,00007.403280,B4_42,7,0.01472
,,00007.398720,B4_43,8,0.02224
,,00007.399360,B4_44,5,0.01136
,,00007.707760,B6_14,6,0.11472
,,00008.271680,B6_14,6,0.03752
,,00008.994560,B4_43,6,0.016
,,00009.428880,D1_21,5,0.04312
,,00010.133680,A2_34,5,0.09088
,,00010.352240,B6_14,7,0.07072
,,00010.895440,C2_14,5,0.01072
,,00011.432960,B6_14,6,0.03432
,,00011.807200,B4_42,5,0.01256
,,00011.802960,B4_43,7,0.01656
,,00011.680240,B6_44,7,0.18776
,,00012.209680,B6_14,6,0.03752
,,00012.631440,C3_24,42,0.25352
,,00013.333920,B4_43,5,0.01224
,,00013.120160,B6_14,5,0.03728
,,00013.479840,A2_13,5,0.02024
,,00013.477920,A2_33,7,0.01856
,,00013.460160,A2_34,12,0.05848
,,00013.763440,D1_33,11,0.05376
,,00013.765840,D1_34,7,0.04728
,,00013.766080,D1_42,11,0.07056
,,00013.658400,D3_21,15,0.182
,,00013.714640,D3_33,6,0.12136
,,00013.699760,D3_44,6,0.03232
,,00013.846800,A6_11,6,0.02104
,,00013.846880,A6_21,9,0.02664
,,00013.791360,A6_22,10,0.08472
,,00013.774880,D1_21,21,0.15688
,,00013.775120,D1_31,16,0.13208
