Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge,04634.346400,B5_44,8,0.04168
Description,"WT hippocampal culture. Blcokers challenge on 04.05.23, 31DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",04634.326560,B5_31,5,0.0528
Maestro Edge (Maestro-) Settings,,04742.563760,A2_21,52,0.15144
   Original File Time,05/04/2023 15:17:02,04742.570560,A2_11,39,0.13448
   Sampling Frequency,12.5 kHz,04742.561600,A2_12,17,0.14352
   Voltage Scale,5.484861781483107E-08 V/sample,04742.598240,A2_13,24,0.10368
   Experiment Start Time,05/04/2023 13:59:44,04742.626480,A2_14,29,0.07904
   Referencing Method,Median,04742.568880,A2_33,42,0.13712
   Acquire Viability,On,04742.583440,A2_24,5,0.08128
   Analog Mode Setting,Neural Spikes,04742.595360,A2_34,41,0.15352
   Plate Type,CytoView MEA 24,04742.562240,A2_32,41,0.14288
   Digital Low Pass Filter,3 kHz Kaiser Window,04742.595920,A2_43,13,0.1016
   Digital High Pass Filter,200 Hz IIR,04742.600240,A2_44,25,0.102
   Temperature Set Point,37.0 Degrees C,04742.587760,A2_42,25,0.11224
   Current Temperature,37.0 Degrees C,04742.916560,A1_41,33,0.12056
   Heater Power,On,04742.922720,A1_31,24,0.10456
   Barcode Plate Type,TwentyFourWell,04742.925840,A1_11,13,0.09856
   Plate Serial Number,100-0914,04742.928000,A1_12,12,0.09472
   CO2 Conc. Set Point,5.0 %,04742.922800,A1_13,35,0.10712
   Actual CO2 Conc.,5.0 %,04742.931520,A1_22,13,0.09352
   Gas Mixer Status,Regulating,04742.922080,A1_23,36,0.11024
   AxIS Version,3.6.2.2,04742.931760,A1_14,6,0.09416
   Maestro Edge (Maestro-) Firmware,3.6.2.2,04742.934000,A1_33,5,0.08552
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,04742.934080,A1_43,14,0.09296
,,04743.088480,B2_42,7,0.0452
Spike Detector Settings,,04743.156240,A1_41,13,0.05896
   Method,Adaptive Threshold Crossing,04742.918960,A1_21,66,0.2984
   Threshold,6,04743.155520,A1_31,8,0.05296
   Threshold Status,Variable,04743.145440,A1_11,8,0.06296
   Threshold Crossing Only,True,04743.150320,A1_12,6,0.05768
   Pre-Spike Duration,0.84 ms,04743.140480,A1_13,15,0.07664
   Post-Spike Duration,2.16 ms,04743.146560,A1_22,10,0.0652
   Coincident Event Filter,Default (Well),04743.134240,A1_23,18,0.08272
   Coincidence Occurrence Threshold,4 Electrodes,04743.152400,A1_33,5,0.058
   Coincidence Event Window,160 µs,04742.926080,A1_34,64,0.29216
   Allow Sample Overlap,false,04743.156240,A1_43,7,0.06336
   Spike Count Interval,1 s,04743.092480,B2_31,19,0.10088
,,04743.102400,B2_22,17,0.08904
Burst Detector Settings,,04743.119680,A3_41,6,0.0816
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,04743.129680,A3_21,21,0.07808
   Maximum Inter-Spike Interval,100 ms,04743.112160,A3_31,24,0.0952
   Minimum Number of Spikes,5,04743.102240,A3_11,17,0.10568
   Enable Network Burst Detection,False,04743.109840,A3_12,28,0.1056
   Synchrony Window,20 ms,04743.106800,A3_13,36,0.10376
,,04743.113680,A3_23,17,0.09664
,,04743.105600,A3_14,37,0.10592
,,04743.109840,A3_34,20,0.0952
,,04743.115680,A3_32,21,0.09328
,,04743.104640,A3_44,37,0.11088
,,04743.111360,A3_43,35,0.10016
,,04743.403200,D3_21,9,0.0768
,,04743.402400,D3_23,6,0.07888
,,04744.049760,B4_24,5,0.0112
,,04744.136720,B1_33,27,0.1908
