Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-30min,06602.703120,D3_21,6,0.01496
Description,"WT hippocampal culture. Blcokers challenge on 04.05.23, 31DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",06602.706320,D3_44,5,0.02608
Maestro Edge (Maestro-) Settings,,06602.882320,D4_14,7,0.08248
   Original File Time,05/04/2023 15:48:02,06604.329280,D4_14,11,0.30024
   Sampling Frequency,12.5 kHz,06606.247120,D3_21,6,0.014
   Voltage Scale,5.484861781483107E-08 V/sample,06606.248640,D3_32,5,0.0332
   Experiment Start Time,05/04/2023 13:59:44,06607.302080,C1_11,24,0.12032
   Referencing Method,Median,06607.299680,C1_12,15,0.12392
   Acquire Viability,On,06607.298640,C1_13,21,0.1348
   Analog Mode Setting,Neural Spikes,06607.291520,C1_23,49,0.15712
   Plate Type,CytoView MEA 24,06607.288240,C1_33,50,0.156
   Digital Low Pass Filter,3 kHz Kaiser Window,06607.290320,C1_34,23,0.15168
   Digital High Pass Filter,200 Hz IIR,06607.278240,C1_43,44,0.16368
   Temperature Set Point,37.0 Degrees C,06607.281440,C1_44,16,0.15632
   Current Temperature,37.0 Degrees C,06607.955760,B6_14,10,0.16848
   Heater Power,On,06608.085600,B6_33,5,0.03112
   Barcode Plate Type,TwentyFourWell,06609.029440,D4_14,12,0.27168
   Plate Serial Number,100-0914,06609.471600,D3_44,5,0.06688
   CO2 Conc. Set Point,5.0 %,06612.998480,D4_14,10,0.1744
   Actual CO2 Conc.,5.0 %,06613.160960,B5_21,7,0.02456
   Gas Mixer Status,Regulating,06613.449600,D4_14,11,0.15608
   AxIS Version,3.6.2.2,06614.615440,B6_33,6,0.02712
   Maestro Edge (Maestro-) Firmware,3.6.2.2,06614.617920,B6_14,22,0.11264
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,06614.695440,B6_11,13,0.03864
,,06615.602560,D3_21,5,0.01384
Spike Detector Settings,,06618.256400,B5_14,11,0.0948
   Method,Adaptive Threshold Crossing,06618.234160,B5_12,6,0.11896
   Threshold,6,06618.241120,B5_13,14,0.10912
   Threshold Status,Variable,06618.239120,B5_21,17,0.12576
   Threshold Crossing Only,True,06618.322720,D4_14,9,0.13024
   Pre-Spike Duration,0.84 ms,06618.313680,B5_44,22,0.12792
   Post-Spike Duration,2.16 ms,06618.563360,B6_11,5,0.01312
   Coincident Event Filter,Default (Well),06618.760960,C1_21,5,0.01512
   Coincidence Occurrence Threshold,4 Electrodes,06618.765680,C1_11,22,0.11056
   Coincidence Event Window,160 µs,06618.759440,C1_12,10,0.08384
   Allow Sample Overlap,false,06618.758800,C1_13,20,0.1092
   Spike Count Interval,1 s,06618.749680,C1_23,43,0.12136
,,06618.746160,C1_33,47,0.14352
Burst Detector Settings,,06618.748160,C1_34,22,0.11776
