Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-24h,00122.317200,B6_33,7,0.0596
Description,"WT hippocampal culture. Blcokers challenge on 04.05.23, 31DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",00122.720160,B6_14,8,0.36368
Maestro Edge (Maestro-) Settings,,00123.631600,D3_21,6,0.08432
   Original File Time,05/05/2023 15:18:02,00123.718720,B5_14,15,0.07872
   Sampling Frequency,12.5 kHz,00123.709840,B5_12,5,0.08688
   Voltage Scale,5.484861781483107E-08 V/sample,00123.710640,B5_13,12,0.09008
   Experiment Start Time,05/05/2023 15:17:44,00123.743680,B5_44,5,0.08712
   Referencing Method,Median,00123.711360,B5_21,15,0.08976
   Acquire Viability,On,00123.690880,B6_33,5,0.03264
   Analog Mode Setting,Neural Spikes,00125.689600,B6_33,6,0.02712
   Plate Type,CytoView MEA 24,00125.691440,B6_34,6,0.016
   Digital Low Pass Filter,3 kHz Kaiser Window,00126.272800,A2_34,13,0.10496
   Digital High Pass Filter,200 Hz IIR,00126.319760,A2_32,7,0.0248
   Temperature Set Point,37.0 Degrees C,00127.472480,D3_21,18,0.22448
   Current Temperature,37.0 Degrees C,00127.609360,D3_33,20,0.1112
   Heater Power,On,00127.480480,D3_34,20,0.23984
   Barcode Plate Type,TwentyFourWell,00127.471840,D3_32,11,0.24368
   Plate Serial Number,100-0914,00127.517920,D3_42,8,0.1988
   CO2 Conc. Set Point,5.0 %,00128.170800,B5_21,5,0.0164
   Actual CO2 Conc.,5.0 %,00128.983360,B6_33,5,0.08704
   Gas Mixer Status,Regulating,00129.877440,A3_13,6,0.0492
   AxIS Version,3.6.2.2,00129.847280,A3_14,7,0.08128
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00129.937760,B6_14,6,0.0828
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00130.344480,A2_21,14,0.04976
,,00130.346880,A2_11,12,0.04504
Spike Detector Settings,,00130.344640,A2_13,12,0.04312
   Method,Adaptive Threshold Crossing,00130.346000,A2_14,14,0.04176
   Threshold,6,00130.335040,A2_33,20,0.05872
   Threshold Status,Variable,00130.348960,A2_24,6,0.03224
   Threshold Crossing Only,True,00130.332000,A2_34,24,0.06232
   Pre-Spike Duration,0.84 ms,00130.340320,A2_32,16,0.0508
   Post-Spike Duration,2.16 ms,00130.342080,A2_43,6,0.04472
   Coincident Event Filter,Default (Well),00130.337920,A2_44,10,0.04936
   Coincidence Occurrence Threshold,4 Electrodes,00130.342400,A2_42,8,0.0416
   Coincidence Event Window,160 µs,00130.055200,D6_44,39,0.23376
   Allow Sample Overlap,false,00131.548320,C2_14,5,0.05352
   Spike Count Interval,1 s,00132.389600,B5_21,7,0.03112
,,00133.058000,D3_21,5,0.01192
Burst Detector Settings,,00133.924800,A3_13,6,0.05552
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00133.908240,A3_14,7,0.07776
   Maximum Inter-Spike Interval,100 ms,00133.984000,B6_33,6,0.0976
   Minimum Number of Spikes,5,00134.041120,B6_14,8,0.2472
   Enable Network Burst Detection,False,00134.542160,B2_31,15,0.05304
   Synchrony Window,20 ms,00134.537600,B2_22,17,0.06408
,,00134.562320,B6_14,5,0.05616
,,00135.438400,B2_31,6,0.01896
,,00135.435360,B2_22,7,0.0224
,,00136.440800,B5_21,5,0.01728
,,00136.462800,B6_14,20,0.14176
,,00136.448320,B6_33,6,0.02896
,,00136.450160,B6_34,8,0.02576
,,00136.809600,D3_21,5,0.0164
,,00136.579440,B6_12,13,0.09576
,,00136.536640,B6_11,46,0.14104
,,00136.862560,A3_14,5,0.10272
,,00138.181280,B5_21,6,0.0256
,,00139.268560,D3_21,13,0.18016
,,00139.468880,B6_14,5,0.11864
,,00139.741760,B6_14,5,0.15416
,,00140.128960,B5_21,5,0.01208
,,00140.650720,B6_14,5,0.09808
,,00140.690320,B6_33,5,0.16744
,,00141.961760,A2_21,19,0.05216
,,00141.961840,A2_11,14,0.0484
,,00141.960240,A2_13,15,0.05264
,,00141.961280,A2_14,17,0.05184
,,00141.960640,A2_33,20,0.054
,,00141.974400,A2_24,6,0.03512
,,00141.949280,A2_34,26,0.07024
,,00141.950800,A2_32,20,0.06424
,,00141.983280,A2_43,9,0.02536
,,00141.954560,A2_44,14,0.0552
,,00141.950480,A2_42,11,0.0552
,,00142.198480,D3_21,5,0.02216
,,00142.196560,D3_23,5,0.13384
,,00142.048640,B6_33,12,0.12456
,,00142.139680,B6_34,7,0.02952
,,00143.038000,B6_14,6,0.03528
,,00144.367200,B5_14,13,0.08768
,,00144.367440,B5_12,6,0.0844
,,00144.362560,B5_13,18,0.09672
,,00144.379440,B5_44,10,0.09448
,,00144.365760,B5_21,14,0.0976
,,00146.289840,C4_13,5,0.09936
,,00146.156560,B6_14,5,0.07392
,,00146.570000,D3_21,5,0.01504
,,00148.794240,A3_11,5,0.07576
,,00148.804320,A3_14,5,0.05808
,,00149.205520,C2_14,12,0.09264
,,00149.666400,B5_14,11,0.03928
,,00149.660320,B5_12,5,0.03256
,,00149.657040,B5_13,13,0.0424
,,00149.701760,B5_44,6,0.02368
,,00149.582080,B5_21,17,0.12208
,,00149.566800,B6_14,8,0.248
,,00150.245360,B6_14,5,0.06408
,,00150.232720,B6_33,6,0.02808
,,00150.905520,A2_21,9,0.03592
,,00150.893280,A2_33,9,0.04128
,,00150.890480,A2_34,14,0.0512
,,00150.888640,A2_32,10,0.04344
,,00151.872080,A3_11,5,0.04192
,,00151.924720,A3_43,5,0.016
,,00154.777040,B6_14,5,0.08528
,,00154.785120,B6_33,5,0.04128
,,00155.044880,B5_14,14,0.04328
,,00155.046640,B5_12,6,0.0256
,,00155.057680,B5_13,8,0.01936
,,00155.074480,B5_44,7,0.01744
,,00155.044880,B5_21,13,0.04096
,,00155.350400,D3_21,5,0.01784
,,00155.260080,D3_32,5,0.11024
