AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_21DIV_24-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,3245.000000,2326.000000,4939.000000,449.000000,350.000000,3509.000000,309.000000,134.000000,1673.000000,1113.000000,561.000000,2890.000000,1007.000000,566.000000,243.000000,319.000000,0.000000,34.000000,3818.000000,0.000000,1314.000000,1252.000000,200.000000,156.000000
    Mean Firing Rate (Hz),1.690104,1.211458,2.572396,0.233854,0.182292,1.827604,0.160938,0.069792,0.871354,0.579688,0.292187,1.505208,0.524479,0.294792,0.126562,0.166146,0.000000,0.017708,1.988542,0.000000,0.684375,0.652083,0.104167,0.081250
    ISI Coefficient of Variation - Avg,8.177721,2.997954,6.921678,4.975984,3.103376,8.436880,1.590952,2.708060,3.504051,1.636123,2.224307,1.966220,2.891952,1.265890,5.194761,2.337484, ,0.473566,2.530385, ,1.727339,4.015634,5.826536,1.759007
    Number of Active Electrodes,13.000000,12.000000,14.000000,6.000000,5.000000,9.000000,3.000000,3.000000,14.000000,11.000000,6.000000,11.000000,8.000000,4.000000,2.000000,4.000000,0.000000,1.000000,9.000000,0.000000,6.000000,6.000000,2.000000,1.000000
    Weighted Mean Firing Rate (Hz),2.080128,1.613889,2.939881,0.608333,0.581667,3.246296,0.797222,0.350000,0.992857,0.841667,0.775000,2.185606,1.016667,1.177083,1.004167,0.654167, ,0.241667,3.525000, ,1.805556,1.727778,0.795833,1.300000
Electrode Burst Metrics
    Number of Bursts,114.000000,63.000000,237.000000,18.000000,26.000000,141.000000,16.000000,10.000000,123.000000,57.000000,23.000000,117.000000,46.000000,13.000000,8.000000,29.000000,0.000000,0.000000,154.000000,0.000000,57.000000,62.000000,9.000000,2.000000
    Number of Bursting Electrodes,13.000000,12.000000,13.000000,4.000000,5.000000,9.000000,2.000000,3.000000,14.000000,8.000000,5.000000,8.000000,6.000000,4.000000,2.000000,4.000000,0.000000,0.000000,9.000000,0.000000,7.000000,6.000000,2.000000,1.000000
    Burst Duration - Avg (sec),0.205081,0.099151,0.157412,0.308489,0.064014,0.159955,0.030673,0.086806,0.049300,0.052005,0.165396,0.096190,0.091396,0.082425,0.147400,0.077629, , ,0.126615, ,0.070983,0.113304,0.214250,0.148680
    Burst Duration - Std (sec),0.096763,0.021424,0.007987,0.119298,0.018895,0.021021,0.023184,0.043399,0.016559,0.031351,0.099169,0.025730,0.051103,0.046023,0.119586,0.033341, , ,0.067213, ,0.036287,0.043108,0.106816, 
    Number of Spikes per Burst - Avg,28.478036,22.415530,19.284313,17.241667,11.303333,21.413653,7.041667,6.857143,12.879960,8.667088,16.090000,12.463162,15.155820,8.587500,22.500000,8.208333, , ,15.609667, ,9.700280,14.600661,21.400000,46.000000
    Number of Spikes per Burst - Std,26.617138,6.599347,7.943151,18.382064,6.522018,13.164649,1.826693,3.216666,4.664700,3.480421,3.399338,5.729279,8.025367,4.092345,19.798990,0.220479, , ,8.159474, ,3.096445,9.146270,17.819091, 
    Mean ISI within Burst - Avg (sec),0.010661,0.005491,0.010551,0.029986,0.007590,0.012832,0.004778,0.017140,0.004323,0.006413,0.009055,0.009100,0.007011,0.011951,0.007815,0.012199, , ,0.012137, ,0.010550,0.010502,0.013113,0.003308
    Mean ISI within Burst - Std (sec),0.005087,0.002267,0.005808,0.013137,0.003531,0.013938,0.002438,0.012551,0.001125,0.002825,0.004240,0.003739,0.002545,0.007659,0.001374,0.006544, , ,0.009614, ,0.006225,0.006311,0.006377, 
    Median ISI within Burst - Avg (sec),0.005758,0.003437,0.003250,0.027838,0.004104,0.009373,0.003120,0.012259,0.003175,0.004691,0.003650,0.004053,0.004069,0.008168,0.004460,0.009500, , ,0.010157, ,0.007713,0.007045,0.004082,0.002880
    Median ISI within Burst - Std (sec),0.004139,0.000727,0.000644,0.017590,0.000975,0.015321,0.000580,0.011355,0.000621,0.002601,0.000591,0.001149,0.000681,0.005938,0.000877,0.005871, , ,0.012971, ,0.004663,0.004612,0.000195, 
    Median/Mean ISI within Burst - Avg,0.587483,0.699816,0.429554,0.797658,0.659339,0.634846,0.746447,0.610151,0.795481,0.770943,0.555936,0.564964,0.672132,0.736014,0.580971,0.783501, , ,0.728291, ,0.766244,0.667945,0.363424,0.870924
    Median/Mean ISI within Burst - Std,0.152027,0.136268,0.134941,0.351662,0.205547,0.182084,0.217108,0.012305,0.085027,0.143848,0.194786,0.110869,0.146935,0.220574,0.007434,0.112464, , ,0.212954, ,0.117492,0.050532,0.186940, 
    Inter-Burst Interval - Avg (sec),14.607677,15.352581,6.175405,36.171685,22.981477,6.245603,15.208005,54.835220,13.158357,31.137879,21.053933,15.204172,18.166241,46.509635,29.307160,12.796189, , ,7.288140, ,16.047189,13.204831,12.577527,42.519680
    Inter-Burst Interval - Std (sec),3.804897,4.164564,1.599346,32.647172,11.159162,0.584188,9.222438,52.833972,1.157173,22.015138,12.758263,22.401445,8.252331,28.419560,15.485129,2.246886, , ,3.840466, ,10.939933,6.783721,0.512445,0.000000
    Burst Frequency - Avg (Hz),0.073077,0.043750,0.151923,0.037500,0.043333,0.130556,0.066667,0.027778,0.073214,0.059375,0.038333,0.121875,0.063889,0.027083,0.033333,0.060417, , ,0.142593, ,0.067857,0.086111,0.037500,0.016667
    Burst Frequency - Std (Hz),0.021014,0.020757,0.023362,0.014434,0.014907,0.047507,0.047140,0.026788,0.004824,0.068202,0.027386,0.084625,0.018002,0.012500,0.023570,0.038112, , ,0.097934, ,0.097945,0.026176,0.005893, 
    IBI Coefficient of Variation - Avg,1.449132,0.672422,1.316494,1.234718,0.568870,1.961620,0.509641,0.645746,0.238801,0.644764,0.659234,0.468274,0.766882,0.518954,0.522691,0.590948, , ,1.092106, ,0.652337,0.751470,0.724346, 
    IBI Coefficient of Variation - Std,0.180142,0.317454,0.188958,0.103773,0.128506,0.103704,0.077098,0.000000,0.094357,0.102257,0.162648,0.148256,0.203149,0.329189,0.000000,0.122539, , ,0.098922, ,0.253697,0.142073,0.124959, 
    Burst Percentage - Avg,90.520728,61.409578,87.653773,38.021422,69.607517,71.164893,17.005228,48.958333,89.475139,30.463910,44.419298,32.208614,33.385894,26.569294,47.030583,59.712730, ,0.000000,46.880531, ,36.858047,49.566346,60.000000,58.974359
    Burst Percentage - Std,18.311474,29.891866,27.760660,43.375763,38.530514,43.415350,30.252651,39.993849,25.678817,32.930087,34.403234,30.232805,41.625111,23.014296,54.435261,37.955313, ,0.000000,32.347442, ,32.355881,44.895130,52.915026, 
Network Burst Metrics
    Number of Network Bursts,7.000000,4.000000,20.000000,3.000000,1.000000,17.000000,0.000000,0.000000,9.000000,2.000000,3.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,0.000000,2.000000,11.000000,0.000000,0.000000
    Network Burst Frequency,0.058333,0.033333,0.166667,0.025000,0.008333,0.141667, , ,0.075000,0.016667,0.025000,0.075000,0.066667, , , , , ,0.133333, ,0.016667,0.091667, , 
    Network Burst Duration - Avg (sec),0.429566,0.290520,0.172200,0.809093,0.119760,0.198574, , ,0.124222,0.127880,0.261013,0.276489,0.184550, , , , , ,0.234965, ,0.211040,0.204415, , 
    Network Burst Duration - Std (sec),0.367085,0.153444,0.145391,0.448766, ,0.156124, , ,0.049981,0.053344,0.198108,0.228923,0.130141, , , , , ,0.157408, ,0.023646,0.123199, , 
    Number of Spikes per Network Burst - Avg,463.142857,351.000000,246.900000,127.333333,60.000000,200.176471, , ,180.000000,103.500000,108.000000,160.888889,90.625000, , , , , ,149.250000, ,103.500000,94.818182, , 
    Number of Spikes per Network Burst - Std,336.028485,139.835618,165.536735,45.081408, ,114.691017, , ,38.226300,17.677670,49.487372,135.882711,34.669614, , , , , ,88.134367, ,23.334524,31.770484, , 
    Mean ISI within Network Burst - Avg (sec),0.000847,0.000793,0.000679,0.006081,0.002030,0.000897, , ,0.000705,0.001221,0.002304,0.001757,0.001972, , , , , ,0.001629, ,0.002087,0.002103, , 
    Mean ISI within Network Burst - Std (sec),0.000198,0.000177,0.000210,0.001545, ,0.000271, , ,0.000262,0.000310,0.001004,0.000440,0.000643, , , , , ,0.000796, ,0.000244,0.000775, , 
    Median ISI within Network Burst - Avg (sec),0.000366,0.000240,0.000264,0.002507,0.001360,0.000466, , ,0.000258,0.000720,0.001013,0.000827,0.001035, , , , , ,0.000890, ,0.000840,0.001167, , 
    Median ISI within Network Burst - Std (sec),0.000043,0.000000,0.000038,0.000257, ,0.000086, , ,0.000035,0.000226,0.000311,0.000179,0.000313, , , , , ,0.000187, ,0.000170,0.000234, , 
    Median/Mean ISI within Network Burst - Avg,0.459659,0.314527,0.421913,0.427444,0.670007,0.550193, , ,0.418692,0.585059,0.459685,0.484689,0.535874, , , , , ,0.606369, ,0.400526,0.601012, , 
    Median/Mean ISI within Network Burst - Std,0.159669,0.070405,0.128140,0.094796, ,0.127094, , ,0.170641,0.036844,0.103829,0.101052,0.099389, , , , , ,0.158686, ,0.034422,0.164838, , 
