AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Agonists challenge_25_04_23\WT hippocampal culture_22DIV_Agonists Challenge_1h after_25-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,CAP [100 nM],CAP [100 nM],AITC [1 µM],AITC [1 µM],KCl [1 mM],KCl [1 mM],CAP [1 µM],CAP [1 µM],AITC [10 µM],AITC [10 µM],KCl [10 mM],KCl [10 mM],CAP [10 µM],CAP [10 µM],AITC [100 µM],AITC [100 µM],KCl [50 mM],KCl [50 mM],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %]
Activity Metrics
    Number of Spikes,1210.000000,1684.000000,6664.000000,415.000000,459.000000,2016.000000,746.000000,119.000000,1643.000000,2121.000000,93.000000,5836.000000,879.000000,624.000000,238.000000,523.000000,0.000000,0.000000,2795.000000,0.000000,969.000000,598.000000,232.000000,241.000000
    Mean Firing Rate (Hz),0.630208,0.877083,3.470833,0.216146,0.239063,1.050000,0.388542,0.061979,0.855729,1.104688,0.048438,3.039583,0.457813,0.325000,0.123958,0.272396,0.000000,0.000000,1.455729,0.000000,0.504687,0.311458,0.120833,0.125521
    ISI Coefficient of Variation - Avg,1.785661,1.789704,5.524073,7.189363,3.488393,3.602526,1.421475,3.831681,3.660914,2.207839,0.983508,1.210800,4.046739,1.460168,2.799095,4.161697, , ,2.108001, ,1.629475,4.923002,6.921456,4.828588
    Number of Active Electrodes,12.000000,12.000000,15.000000,6.000000,4.000000,9.000000,6.000000,3.000000,14.000000,11.000000,3.000000,7.000000,7.000000,4.000000,2.000000,5.000000,0.000000,0.000000,7.000000,0.000000,8.000000,5.000000,3.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.840278,1.169444,3.702222,0.551389,0.950000,1.863889,1.027778,0.330556,0.974405,1.600000,0.252778,6.929762,0.998810,1.300000,0.987500,0.863333, , ,3.313095, ,1.005208,0.990000,0.622222,2.008333
Electrode Burst Metrics
    Number of Bursts,26.000000,88.000000,196.000000,22.000000,37.000000,100.000000,53.000000,8.000000,95.000000,134.000000,0.000000,331.000000,32.000000,18.000000,9.000000,24.000000,0.000000,0.000000,108.000000,0.000000,31.000000,21.000000,9.000000,4.000000
    Number of Bursting Electrodes,11.000000,12.000000,14.000000,6.000000,4.000000,9.000000,4.000000,3.000000,14.000000,11.000000,0.000000,5.000000,7.000000,4.000000,2.000000,3.000000,0.000000,0.000000,7.000000,0.000000,6.000000,5.000000,3.000000,1.000000
    Burst Duration - Avg (sec),0.487427,0.051468,0.153617,0.293401,0.110073,0.077915,0.065482,0.097204,0.075822,0.048294, ,0.076899,0.155715,0.083838,0.155137,0.146010, , ,0.120005, ,0.082313,0.136918,0.185307,0.197380
    Burst Duration - Std (sec),0.168375,0.019036,0.023285,0.093254,0.036009,0.015740,0.053758,0.048802,0.020099,0.015235, ,0.052735,0.039140,0.013031,0.172558,0.025051, , ,0.035888, ,0.030794,0.031031,0.023031, 
    Number of Spikes per Burst - Avg,50.545455,13.735443,33.675903,12.880556,10.356818,16.848725,6.713904,13.222222,15.329819,9.205507, ,7.618358,18.385714,9.333333,17.321429,20.000000, , ,12.511485, ,10.672222,21.766667,24.555556,54.250000
    Number of Spikes per Burst - Std,39.107124,5.811071,15.568686,11.608141,4.882540,4.838256,1.998071,10.553216,4.814960,3.230458, ,2.764720,8.631137,2.176261,15.303811,9.707439, , ,5.930702, ,4.705749,15.219505,19.760604, 
    Mean ISI within Burst - Avg (sec),0.013322,0.004526,0.005629,0.038326,0.010348,0.006114,0.014129,0.010060,0.005640,0.007115, ,0.013773,0.009907,0.010704,0.008227,0.009324, , ,0.014470, ,0.011026,0.008666,0.011105,0.003684
    Mean ISI within Burst - Std (sec),0.008261,0.001987,0.002905,0.026181,0.002402,0.004540,0.015091,0.006131,0.001932,0.004357, ,0.010135,0.004384,0.003949,0.002835,0.004994, , ,0.012533, ,0.007234,0.004319,0.005758, 
    Median ISI within Burst - Avg (sec),0.005482,0.003132,0.003267,0.031317,0.006775,0.005115,0.009339,0.007356,0.003461,0.005855, ,0.008438,0.005508,0.006170,0.003914,0.003680, , ,0.010309, ,0.007554,0.004803,0.005342,0.002880
    Median ISI within Burst - Std (sec),0.004346,0.000461,0.000654,0.032251,0.002428,0.005144,0.012155,0.002990,0.000993,0.003809, ,0.006594,0.003500,0.004110,0.000727,0.000583, , ,0.011718, ,0.005447,0.002355,0.003627, 
    Median/Mean ISI within Burst - Avg,0.446040,0.785515,0.687065,0.628358,0.684019,0.803595,0.687559,0.789117,0.691682,0.837410, ,0.682228,0.620639,0.575115,0.551005,0.460639, , ,0.660855, ,0.699987,0.637545,0.516817,0.788484
    Median/Mean ISI within Burst - Std,0.152988,0.157530,0.148073,0.308623,0.067346,0.152350,0.213915,0.312401,0.098472,0.074926, ,0.133440,0.114461,0.201416,0.101235,0.147425, , ,0.174381, ,0.056068,0.122151,0.239243, 
    Inter-Burst Interval - Avg (sec),0.946628,9.585780,8.537360,16.014006,15.088158,11.444718,9.320562,37.767520,14.105398,11.479417, ,7.226705,8.747535,25.405156,26.744880,16.089558, , ,8.788985, ,17.548181,19.261752,15.081853,16.504533
    Inter-Burst Interval - Std (sec),0.329263,8.486305,0.259400,9.488833,5.922096,4.785260,7.442328,22.559338,2.056923,9.269505, ,12.143966,8.227032,5.021719,11.632076,0.002797, , ,5.668621, ,3.214095,6.709142,0.001069,0.000000
    Burst Frequency - Avg (Hz),0.019697,0.061111,0.116667,0.030556,0.077083,0.092593,0.110417,0.022222,0.056548,0.101515, ,0.551667,0.038095,0.037500,0.037500,0.066667, , ,0.128571, ,0.043056,0.035000,0.025000,0.033333
    Burst Frequency - Std (Hz),0.005618,0.086845,0.003269,0.015516,0.023936,0.059867,0.125531,0.004811,0.012308,0.086668, ,0.432306,0.020331,0.008333,0.029463,0.000000, , ,0.095846, ,0.017808,0.027259,0.000000, 
    IBI Coefficient of Variation - Avg,0.917557,1.019487,0.277078,1.872885,0.752230,0.442565,0.426170,0.144581,0.352051,0.721543, ,0.751443,0.790647,0.407212,0.386747,1.045448, , ,1.181092, ,0.380748,0.458199,0.990172,0.749809
    IBI Coefficient of Variation - Std,0.016978,0.247769,0.053652,0.238953,0.094326,0.114186,0.017232,0.000061,0.147899,0.256787, ,0.044721,0.219328,0.095321,0.000000,0.000959, , ,0.371883, ,0.276406,0.748963,0.000267,0.000000
    Burst Percentage - Avg,90.046296,37.952974,92.869189,49.115951,47.142781,70.266923,22.991585,88.888889,87.117606,52.550302,0.000000,18.134854,36.453506,43.742038,48.308176,37.248744, , ,32.297036, ,26.499171,58.823061,73.076923,90.041494
    Burst Percentage - Std,28.902928,21.433787,25.724079,40.238291,46.329615,40.338974,31.734692,19.245009,25.513475,27.485179,0.000000,21.683612,40.848650,23.479460,46.572139,51.411893, , ,32.887324, ,27.791611,47.489531,48.852715, 
Network Burst Metrics
    Number of Network Bursts,2.000000,1.000000,14.000000,4.000000,0.000000,7.000000,1.000000,0.000000,7.000000,13.000000,0.000000,13.000000,4.000000,0.000000,0.000000,5.000000,0.000000,0.000000,9.000000,0.000000,3.000000,2.000000,0.000000,0.000000
    Network Burst Frequency,0.016667,0.008333,0.116667,0.033333, ,0.058333,0.008333, ,0.058333,0.108333, ,0.108333,0.033333, , ,0.041667, , ,0.075000, ,0.025000,0.016667, , 
    Network Burst Duration - Avg (sec),0.596760,0.352720,0.192891,0.544380, ,0.144457,0.075280, ,0.162674,0.080474, ,1.188997,0.291600, , ,0.257984, , ,0.395609, ,0.184907,0.262320, , 
    Network Burst Duration - Std (sec),0.697773, ,0.102070,0.167910, ,0.064169, , ,0.086806,0.050852, ,0.440503,0.271447, , ,0.074389, , ,0.117916, ,0.109442,0.193125, , 
    Number of Spikes per Network Burst - Avg,605.000000,302.000000,475.785714,97.500000, ,217.571429,57.000000, ,215.142857,104.538462, ,73.461538,157.500000, , ,69.800000, , ,119.111111, ,88.333333,107.000000, , 
    Number of Spikes per Network Burst - Std,681.650937, ,117.334616,24.556058, ,28.797321, , ,139.782484,54.330187, ,17.255991,171.262956, , ,5.449771, , ,39.869927, ,26.083200,62.225397, , 
    Mean ISI within Network Burst - Avg (sec),0.000926,0.001172,0.000391,0.005763, ,0.000648,0.001344, ,0.000824,0.000766, ,0.016243,0.002156, , ,0.003743, , ,0.003766, ,0.002088,0.002344, , 
    Mean ISI within Network Burst - Std (sec),0.000111, ,0.000077,0.001907, ,0.000192, , ,0.000212,0.000155, ,0.004438,0.000637, , ,0.001037, , ,0.001957, ,0.000944,0.000446, , 
