AxIS Spike File,C:\Users\Emily Gordon\ONEDRI~1\DPHILO~1\DBROTA~1\MEAPRO~1\MEAPAP~1\MEA_PA~1\MADDY_~1\AGONIS~1\WTHIPP~3.SPK
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,CAP [100 nM],CAP [100 nM],AITC [1 µM],AITC [1 µM],KCl [1 mM],KCl [1 mM],CAP [1 µM],CAP [1 µM],AITC [10 µM],AITC [10 µM],KCl [10 mM],KCl [10 mM],CAP [10 µM],CAP [10 µM],AITC [100 µM],AITC [100 µM],KCl [50 mM],KCl [50 mM],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %]
Activity Metrics
    Number of Spikes,1965.000000,1343.000000,5712.000000,500.000000,340.000000,2328.000000,507.000000,123.000000,3639.000000,1358.000000,1519.000000,12354.000000,748.000000,929.000000,150.000000,419.000000,0.000000,0.000000,3804.000000,0.000000,938.000000,957.000000,64.000000,342.000000
    Mean Firing Rate (Hz),1.023438,0.699479,2.975000,0.260417,0.177083,1.212500,0.264062,0.064062,1.895313,0.707292,0.791146,6.434375,0.389583,0.483854,0.078125,0.218229,0.000000,0.000000,1.981250,0.000000,0.488542,0.498437,0.033333,0.178125
    ISI Coefficient of Variation - Avg,11.331995,1.308841,7.488180,5.164409,3.604965,6.166205,1.741994,3.984059,4.365105,1.713099,1.962568,2.763116,2.277346,2.030903,3.275428,3.295955, , ,2.510958, ,1.834508,4.929600,1.331641,6.580352
    Number of Active Electrodes,12.000000,11.000000,15.000000,7.000000,4.000000,9.000000,5.000000,3.000000,15.000000,11.000000,6.000000,13.000000,9.000000,4.000000,2.000000,5.000000,0.000000,0.000000,10.000000,0.000000,8.000000,5.000000,2.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.363889,1.010606,3.172778,0.583333,0.700000,2.150926,0.826667,0.341667,2.021667,1.026515,2.104167,7.912179,0.666667,1.935417,0.620833,0.686667, , ,3.157500, ,0.976042,1.585000,0.233333,2.850000
Electrode Burst Metrics
    Number of Bursts,38.000000,28.000000,154.000000,25.000000,26.000000,72.000000,30.000000,8.000000,176.000000,86.000000,61.000000,363.000000,29.000000,38.000000,7.000000,20.000000,0.000000,0.000000,131.000000,0.000000,27.000000,39.000000,3.000000,7.000000
    Number of Bursting Electrodes,12.000000,8.000000,15.000000,6.000000,4.000000,9.000000,3.000000,3.000000,14.000000,9.000000,4.000000,10.000000,8.000000,4.000000,2.000000,4.000000,0.000000,0.000000,8.000000,0.000000,6.000000,5.000000,3.000000,1.000000
    Burst Duration - Avg (sec),0.542385,0.046279,0.272980,0.246451,0.164234,0.237976,0.070916,0.113169,0.095182,0.038615,0.051926,0.121404,0.075153,0.067443,0.154870,0.114737, , ,0.128813, ,0.127807,0.108410,0.168373,0.196389
    Burst Duration - Std (sec),0.255354,0.019892,0.050318,0.090829,0.039507,0.052072,0.044494,0.070274,0.016712,0.016257,0.009176,0.042050,0.074752,0.013912,0.161234,0.053647, , ,0.044623, ,0.047031,0.029417,0.040591, 
    Number of Spikes per Burst - Avg,59.152778,10.177083,34.565859,14.033333,11.500000,26.635113,8.096296,12.944444,19.792844,7.359261,12.969266,24.538464,11.993056,8.775568,19.791667,16.416667, , ,17.871153, ,14.701389,18.264286,21.333333,46.142857
    Number of Spikes per Burst - Std,58.476457,4.533044,17.837781,10.513061,5.386884,13.347799,1.213369,11.070899,7.053139,1.848118,4.944942,15.261732,8.068186,2.404018,17.736595,11.649591, , ,7.750433, ,6.320404,11.046620,19.731531, 
    Mean ISI within Burst - Avg (sec),0.015797,0.005607,0.011653,0.023023,0.015692,0.013179,0.010538,0.011858,0.004760,0.006348,0.004803,0.009240,0.007991,0.009883,0.007529,0.010171, , ,0.009791, ,0.010513,0.007226,0.013682,0.004079
    Mean ISI within Burst - Std (sec),0.012145,0.002532,0.006949,0.007352,0.010456,0.013073,0.008377,0.008638,0.002156,0.002854,0.001438,0.006323,0.006500,0.003830,0.001595,0.003658, , ,0.003624, ,0.004216,0.003626,0.010243, 
    Median ISI within Burst - Avg (sec),0.008496,0.004328,0.004422,0.012180,0.010301,0.008919,0.005638,0.007302,0.003324,0.003872,0.003680,0.006727,0.004711,0.006011,0.004200,0.006363, , ,0.005871, ,0.006247,0.004685,0.003573,0.002971
    Median ISI within Burst - Std (sec),0.010189,0.002173,0.004422,0.007271,0.006966,0.013096,0.003150,0.003868,0.001262,0.001641,0.000913,0.005559,0.002195,0.004182,0.000113,0.005678, , ,0.001696, ,0.003064,0.002719,0.000801, 
    Median/Mean ISI within Burst - Avg,0.517209,0.804772,0.417666,0.466247,0.607542,0.615517,0.653659,0.699127,0.786041,0.724681,0.799407,0.741050,0.725126,0.627438,0.578689,0.639736, , ,0.640654, ,0.633721,0.725832,0.357087,0.767287
    Median/Mean ISI within Burst - Std,0.135139,0.159759,0.118054,0.118796,0.116059,0.171276,0.183104,0.154300,0.061066,0.163203,0.052754,0.094979,0.215743,0.174632,0.108679,0.231137, , ,0.106752, ,0.140771,0.095284,0.208308, 
    Inter-Burst Interval - Avg (sec),21.829195,21.035197,10.249029,33.284251,12.266192,12.366235,9.536524,48.031493,9.105817,26.233004,7.642048,4.124189,22.245663,13.510090,31.859153,13.695072, , ,12.794817, ,23.069448,12.483065, ,3.591453
    Inter-Burst Interval - Std (sec),11.060925,8.467371,0.501304,24.532278,3.351306,0.862920,5.366750,21.633961,0.901350,30.943525,1.643085,2.347219,13.734577,2.752966,9.040568,3.861720, , ,14.949872, ,5.813034,0.754078, ,0.000000
    Burst Frequency - Avg (Hz),0.026389,0.029167,0.085556,0.034722,0.054167,0.066667,0.083333,0.022222,0.104762,0.079630,0.127083,0.302500,0.030208,0.079167,0.029167,0.041667, , ,0.136458, ,0.037500,0.065000,0.008333,0.058333
    Burst Frequency - Std (Hz),0.009289,0.021362,0.021700,0.015290,0.017347,0.027639,0.079495,0.004811,0.011655,0.098082,0.029167,0.150260,0.025173,0.014434,0.005893,0.016667, , ,0.083801, ,0.015590,0.003727,0.000000, 
    IBI Coefficient of Variation - Avg,1.586906,0.694689,0.865174,1.160215,0.635327,1.097698,0.604409,0.545290,0.554224,0.667747,0.880429,0.673373,0.885818,0.465664,0.438095,0.749703, , ,1.345451, ,0.856146,0.866774, ,2.266363
    IBI Coefficient of Variation - Std,0.217268,0.178134,0.043351,0.217156,0.282115,0.065959,0.280431,0.000111,0.056615,0.229951,0.105561,0.300349,0.206898,0.136856,0.389332,0.222245, , ,0.297257, ,0.194106,0.077082, ,0.000000
    Burst Percentage - Avg,85.071230,18.864988,86.634117,50.846578,43.406615,64.522802,19.090069,82.608696,90.423824,31.852000,32.898381,53.137433,28.292379,62.748315,60.277778,42.406222, , ,45.008765, ,33.531150,52.558041,100.000000,94.444444
    Burst Percentage - Std,31.106950,20.619286,31.867810,41.524730,47.253060,44.594385,33.360570,30.122623,25.861387,29.269034,39.278687,41.488844,32.154848,35.877715,53.074459,46.422158, , ,35.166000, ,30.095839,51.076388,0.000000, 
Network Burst Metrics
    Number of Network Bursts,2.000000,1.000000,9.000000,4.000000,0.000000,8.000000,0.000000,0.000000,12.000000,5.000000,5.000000,43.000000,5.000000,0.000000,0.000000,3.000000,0.000000,0.000000,16.000000,0.000000,3.000000,5.000000,0.000000,0.000000
    Network Burst Frequency,0.016667,0.008333,0.075000,0.033333, ,0.066667, , ,0.100000,0.041667,0.041667,0.358333,0.041667, , ,0.025000, , ,0.133333, ,0.025000,0.041667, , 
