AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Agonists challenge_25_04_23\WT hippocampal culture_22DIV_Agonists Challenge_25-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,CAP [100 nM],CAP [100 nM],AITC [1 µM],AITC [1 µM],KCl [1 mM],KCl [1 mM],CAP [1 µM],CAP [1 µM],AITC [10 µM],AITC [10 µM],KCl [10 mM],KCl [10 mM],CAP [10 µM],CAP [10 µM],AITC [100 µM],AITC [100 µM],KCl [50 mM],KCl [50 mM],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %]
Activity Metrics
    Number of Spikes,763.000000,348.000000,771.000000,93.000000,1.000000,387.000000,32.000000,34.000000,233.000000,120.000000,18.000000,553.000000,319.000000,99.000000,4.000000,124.000000,0.000000,2.000000,480.000000,0.000000,70.000000,15.000000,1.000000,1.000000
    Mean Firing Rate (Hz),0.397396,0.181250,0.401562,0.048438,0.000521,0.201563,0.016667,0.017708,0.121354,0.062500,0.009375,0.288021,0.166146,0.051562,0.002083,0.064583,0.000000,0.001042,0.250000,0.000000,0.036458,0.007813,0.000521,0.000521
    ISI Coefficient of Variation - Avg,2.288014,4.000421,6.289164,1.314723, ,5.778622,1.356202,0.328106,3.085293,2.646943, ,4.338509,6.183857,3.787242, ,5.701354, , ,3.248545, ,2.918336,1.234923, , 
    Number of Active Electrodes,11.000000,11.000000,14.000000,3.000000,0.000000,8.000000,1.000000,1.000000,10.000000,7.000000,0.000000,7.000000,5.000000,3.000000,0.000000,3.000000,0.000000,0.000000,6.000000,0.000000,2.000000,1.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.572727,0.259848,0.456548,0.191667, ,0.400000,0.183333,0.208333,0.165000,0.130952, ,0.630952,0.466667,0.261111, ,0.327778, , ,0.643056, ,0.258333,0.125000, , 
Electrode Burst Metrics
    Number of Bursts,25.000000,14.000000,33.000000,6.000000,0.000000,16.000000,1.000000,2.000000,17.000000,12.000000,0.000000,25.000000,13.000000,3.000000,0.000000,6.000000,0.000000,0.000000,20.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,12.000000,11.000000,14.000000,5.000000,0.000000,8.000000,1.000000,2.000000,14.000000,7.000000,0.000000,7.000000,7.000000,2.000000,0.000000,3.000000,0.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.253850,0.057000,0.098666,0.186888, ,0.097165,0.028080,0.098800,0.054989,0.021714, ,0.116056,0.117173,0.097960, ,0.152653, , ,0.121289, ,0.090720, , , 
