AxIS Spike File,C:\Users\Emily Gordon\ONEDRI~1\DPHILO~1\DBROTA~1\MEAPRO~1\MEAPAP~1\MEA_PA~1\MADDY_~1\AGONIS~1\WTHIPP~4.SPK
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,CAP [100 nM],CAP [100 nM],AITC [1 µM],AITC [1 µM],KCl [1 mM],KCl [1 mM],CAP [1 µM],CAP [1 µM],AITC [10 µM],AITC [10 µM],KCl [10 mM],KCl [10 mM],CAP [10 µM],CAP [10 µM],AITC [100 µM],AITC [100 µM],KCl [50 mM],KCl [50 mM],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %]
Activity Metrics
    Number of Spikes,2252.000000,3433.000000,6316.000000,697.000000,274.000000,2047.000000,125.000000,35.000000,3195.000000,1772.000000,36.000000,2553.000000,685.000000,920.000000,372.000000,324.000000,0.000000,0.000000,4276.000000,0.000000,808.000000,811.000000,83.000000,338.000000
    Mean Firing Rate (Hz),1.172917,1.788021,3.289583,0.363021,0.142708,1.066146,0.065104,0.018229,1.664063,0.922917,0.018750,1.329687,0.356771,0.479167,0.193750,0.168750,0.000000,0.000000,2.227083,0.000000,0.420833,0.422396,0.043229,0.176042
    ISI Coefficient of Variation - Avg,8.160051,2.674738,5.740882,3.706247,2.873100,5.107823,1.367473,1.938757,5.683878,1.847080,0.881595,1.020962,2.490936,1.852969,3.609620,4.341885, , ,2.487134, ,2.155515,5.865869,1.602159,5.010508
    Number of Active Electrodes,13.000000,12.000000,15.000000,7.000000,4.000000,9.000000,2.000000,1.000000,15.000000,12.000000,2.000000,7.000000,11.000000,4.000000,2.000000,5.000000,0.000000,0.000000,12.000000,0.000000,7.000000,6.000000,2.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.442949,2.381250,3.508889,0.826190,0.566667,1.893519,0.441667,0.291667,1.775000,1.229861,0.125000,3.035714,0.512121,1.916667,1.529167,0.536667, , ,2.969444, ,0.951190,1.116667,0.325000,2.808333
Electrode Burst Metrics
    Number of Bursts,46.000000,155.000000,201.000000,42.000000,24.000000,86.000000,5.000000,3.000000,121.000000,130.000000,0.000000,128.000000,43.000000,24.000000,15.000000,14.000000,0.000000,0.000000,136.000000,0.000000,40.000000,17.000000,2.000000,4.000000
    Number of Bursting Electrodes,13.000000,12.000000,15.000000,6.000000,4.000000,9.000000,4.000000,1.000000,14.000000,9.000000,0.000000,4.000000,8.000000,4.000000,2.000000,4.000000,0.000000,0.000000,9.000000,0.000000,7.000000,6.000000,2.000000,1.000000
    Burst Duration - Avg (sec),0.478223,0.077785,0.144885,0.214162,0.063338,0.140172,0.063200,0.027440,0.132144,0.042868, ,0.116073,0.057576,0.174651,0.118795,0.127521, , ,0.163876, ,0.068187,0.151431,0.282840,0.506160
    Burst Duration - Std (sec),0.136160,0.017948,0.042239,0.052007,0.009828,0.023125,0.045119, ,0.035894,0.028204, ,0.070410,0.009457,0.052629,0.053479,0.031991, , ,0.044096, ,0.020872,0.032478,0.057983, 
    Number of Spikes per Burst - Avg,42.873077,17.650339,30.103016,12.774802,9.633333,19.458598,10.625000,5.666667,24.681151,7.383054, ,6.189815,11.386508,13.896825,18.590909,17.762500, , ,18.810670, ,8.975742,20.472222,39.000000,78.500000
    Number of Spikes per Burst - Std,32.623409,5.361714,16.775327,12.519139,3.188056,7.576456,5.793315, ,11.567675,2.740895, ,0.942127,5.405264,4.863234,10.735167,14.026485, , ,8.974031, ,2.751228,14.751428,21.213203, 
    Mean ISI within Burst - Avg (sec),0.021435,0.005503,0.006497,0.026739,0.008070,0.008996,0.006668,0.005833,0.006934,0.007743, ,0.021599,0.006895,0.014985,0.009522,0.012959, , ,0.012448, ,0.010680,0.012112,0.008312,0.006426
    Mean ISI within Burst - Std (sec),0.018829,0.002572,0.003037,0.011974,0.002151,0.008267,0.002168, ,0.004918,0.007483, ,0.010454,0.003243,0.006126,0.002332,0.009196, , ,0.007945, ,0.005530,0.007448,0.003115, 
    Median ISI within Burst - Avg (sec),0.014263,0.003616,0.003711,0.021897,0.004965,0.006378,0.004690,0.003280,0.003313,0.006405, ,0.016150,0.004021,0.005647,0.007615,0.007015, , ,0.005590, ,0.006772,0.006356,0.002920,0.003170
    Median ISI within Burst - Std (sec),0.021283,0.000977,0.001604,0.017305,0.001934,0.007238,0.001606, ,0.001075,0.006733, ,0.008082,0.001261,0.001284,0.003980,0.004393, , ,0.002595, ,0.004662,0.003833,0.000170, 
    Median/Mean ISI within Burst - Avg,0.515657,0.764332,0.655028,0.680167,0.660896,0.721260,0.734627,0.575542,0.613933,0.834016, ,0.738811,0.654111,0.458867,0.701256,0.562852, , ,0.544446, ,0.698308,0.573926,0.373684,0.512295
    Median/Mean ISI within Burst - Std,0.246115,0.106589,0.147719,0.289799,0.076165,0.061016,0.272498, ,0.119103,0.094667, ,0.149465,0.106696,0.247113,0.125742,0.133857, , ,0.193754, ,0.119759,0.069783,0.119596, 
    Inter-Burst Interval - Avg (sec),40.843344,11.495133,9.092141,31.873962,15.819188,8.614237,11.569600,53.085600,11.258217,14.449476, ,3.830704,22.853678,24.738326,19.195992,26.826327, , ,10.142058, ,18.388475,24.639367, ,15.555520
    Inter-Burst Interval - Std (sec),9.588330,6.301802,3.924191,38.707287,4.199758,3.983783,0.000000,0.000000,2.725179,11.423480, ,3.858503,13.656285,12.517722,10.708097,6.461514, , ,11.714058, ,4.823939,9.412648, ,0.000000
    Burst Frequency - Avg (Hz),0.029487,0.107639,0.111667,0.058333,0.050000,0.079630,0.010417,0.025000,0.072024,0.120370, ,0.266667,0.044792,0.050000,0.062500,0.029167, , ,0.125926, ,0.047619,0.023611,0.008333,0.033333
    Burst Frequency - Std (Hz),0.010549,0.088368,0.021776,0.021731,0.027217,0.034888,0.004167, ,0.012913,0.106728, ,0.427471,0.022244,0.021517,0.041248,0.014434, , ,0.092744, ,0.030700,0.003402,0.000000, 
    IBI Coefficient of Variation - Avg,0.769453,0.580518,0.470995,0.704417,0.480247,1.184071, ,0.029362,1.052229,0.637684, ,0.524563,0.625858,0.728660,0.790676,0.960550, , ,0.982763, ,1.169226,1.397155, ,1.291140
    IBI Coefficient of Variation - Std,0.356869,0.259639,0.083078,0.131080,0.245410,0.265555, ,0.000000,0.131033,0.147422, ,0.247359,0.216821,0.220043,0.030932,0.339552, , ,0.204035, ,0.340136,0.003441, ,0.000000
    Burst Percentage - Avg,83.589196,60.609127,95.431185,58.804547,52.790839,70.979322,56.491228,48.571429,88.145032,36.134901,0.000000,11.115867,46.283878,50.441436,30.060326,53.193930, , ,49.353351, ,31.918574,49.229589,50.000000,46.587537
    Burst Percentage - Std,30.665359,26.271339,14.165179,42.974685,44.436836,39.021086,49.738002, ,25.911308,34.131000,0.000000,24.015677,42.109849,24.574831,46.569894,47.386927, , ,34.145777, ,27.433680,47.771478,57.735027,65.884727
Network Burst Metrics
    Number of Network Bursts,4.000000,8.000000,14.000000,8.000000,0.000000,8.000000,1.000000,0.000000,8.000000,10.000000,0.000000,0.000000,7.000000,0.000000,0.000000,2.000000,0.000000,0.000000,16.000000,0.000000,1.000000,2.000000,0.000000,0.000000
    Network Burst Frequency,0.033333,0.066667,0.116667,0.066667, ,0.066667,0.008333, ,0.066667,0.083333, , ,0.058333, , ,0.016667, , ,0.133333, ,0.008333,0.016667, , 
    Network Burst Duration - Avg (sec),0.571620,0.200080,0.197160,0.329720, ,0.212860,0.193760, ,0.259840,0.078784, , ,0.087383, , ,0.165360, , ,0.433815, ,0.418000,0.421960, , 
    Network Burst Duration - Std (sec),0.375811,0.155799,0.079158,0.091515, ,0.201431, , ,0.188595,0.026435, , ,0.038516, , ,0.011201, , ,0.331169, , ,0.180963, , 
    Number of Spikes per Network Burst - Avg,560.250000,250.750000,451.142857,82.125000, ,220.750000,59.000000, ,387.000000,78.300000, , ,85.285714, , ,68.000000, , ,184.687500, ,169.000000,186.000000, , 
    Number of Spikes per Network Burst - Std,415.067364,190.610111,97.470988,16.736935, ,134.915582, , ,220.579756,18.421304, , ,36.353424, , ,11.313708, , ,153.914573, , ,86.267027, , 
    Mean ISI within Network Burst - Avg (sec),0.001095,0.000818,0.000430,0.004065, ,0.000864,0.003341, ,0.000682,0.001005, , ,0.001046, , ,0.002489, , ,0.002573, ,0.002488,0.002303, , 
    Mean ISI within Network Burst - Std (sec),0.000194,0.000280,0.000090,0.000783, ,0.000342, , ,0.000285,0.000212, , ,0.000280, , ,0.000253, , ,0.001084, , ,0.000096, , 
    Median ISI within Network Burst - Avg (sec),0.000400,0.000260,0.000240,0.002225, ,0.000470,0.001480, ,0.000290,0.000532, , ,0.000691, , ,0.001960, , ,0.001365, ,0.000680,0.001080, , 
    Median ISI within Network Burst - Std (sec),0.000000,0.000037,0.000000,0.000489, ,0.000097, , ,0.000120,0.000080, , ,0.000205, , ,0.000170, , ,0.000497, , ,0.000170, , 
    Median/Mean ISI within Network Burst - Avg,0.373393,0.342456,0.577700,0.553445, ,0.602701,0.443022, ,0.460017,0.542554, , ,0.668526, , ,0.787935, , ,0.551805, ,0.273301,0.470852, , 
    Median/Mean ISI within Network Burst - Std,0.062005,0.098143,0.101570,0.121228, ,0.192452, , ,0.150457,0.091919, , ,0.121396, , ,0.011969, , ,0.126363, , ,0.093273, , 
    Number of Elecs Participating in Burst - Avg,12.250000,12.250000,15.000000,6.875000, ,8.750000,6.000000, ,14.625000,11.400000, , ,10.714286, , ,6.000000, , ,8.875000, ,7.000000,7.500000, , 
    Number of Elecs Participating in Burst - Std,1.258306,0.886405,0.000000,0.353553, ,1.164965, , ,1.060660,0.699206, , ,1.253566, , ,0.000000, , ,1.627882, , ,0.707107, , 
    Number of Spikes per Network Burst per Channel - Avg,44.357955,19.948114,30.076190,11.889881, ,24.709722,9.833333, ,26.000000,6.914848, , ,7.746154, , ,11.333333, , ,20.464099, ,24.142857,24.366071, , 
    Number of Spikes per Network Burst per Channel - Std,32.492966,14.797811,6.498066,2.101372, ,14.664996, , ,14.411724,1.843180, , ,2.259405, , ,1.885618, , ,16.368835, , ,9.205015, , 
    Network Burst Percentage,99.511545,58.432858,100.000000,94.261119, ,86.272594,47.200000, ,96.901408,44.187359, , ,87.153285, , ,41.975309, , ,69.106642, ,20.915842,45.869297, , 
    Network IBI Coefficient of Variation,0.699087,0.569469,0.450429,0.555268, ,1.305092, , ,0.778092,0.702860, , ,0.517631, , , , , ,0.737646, , , , , 
    Network Normalized Duration IQR,0.433681,1.398604,0.226011,0.315733, ,0.765760, , ,0.836433,0.497515, , ,0.441358, , , , , ,1.044326, , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.444358,0.542222,0.627583,0.155229,0.098067,0.371578,0.159658,0.000000,0.667212,0.389441,0.000022,0.006397,0.312591,0.081417,0.001155,0.105197,0.000000,0.000000,0.167594,0.000000,0.189902,0.108769,0.043269,0.054818
    Area Under Cross-Correlation,3.807569,7.753056,22.341250,0.269722,0.075139,3.068125,0.035139,0.000000,10.471667,1.702222,-0.000000,0.054653,0.762083,0.107153,0.006389,0.117083,0.000000,0.000000,2.612431,0.000000,0.381042,0.280486,0.020625,0.000833
    Full Width at Half Height of Normalized Cross-Correlation,8.000000,13.000000,14.000000,12.000000,20.000000,10.000000,5.000000, ,15.000000,8.000000,6.000000,98.000000,12.000000,7.000000,7.000000,13.000000, , ,6.000000, ,8.000000,2.000000,29.000000,51.000000
