AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-1h(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,1.000000,1.000000,271.000000,0.000000,0.000000,27.000000,0.000000,123.000000,0.000000,0.000000,607.000000,778.000000,1.000000,248.000000,18.000000,5.000000,0.000000,0.000000,0.000000,0.000000,435.000000,387.000000,1.000000,3.000000
    Mean Firing Rate (Hz),0.000521,0.000521,0.141146,0.000000,0.000000,0.014063,0.000000,0.064062,0.000000,0.000000,0.316146,0.405208,0.000521,0.129167,0.009375,0.002604,0.000000,0.000000,0.000000,0.000000,0.226563,0.201563,0.000521,0.001563
    ISI Coefficient of Variation - Avg, , ,2.798344, , ,0.326633, ,1.677807, , ,2.793296,0.984935, ,1.575927,1.940398, , , , , ,1.042454,1.601683, , 
    Number of Active Electrodes,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.000000,0.000000,6.000000,6.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz), , ,2.258333, , ,0.100000, ,0.256250, , ,0.825000,1.072222, ,0.516667,0.150000, , , , , ,0.897917,3.225000, , 
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,12.000000,0.000000,0.000000,2.000000,0.000000,5.000000,0.000000,0.000000,24.000000,11.000000,0.000000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,22.000000,4.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,3.000000,0.000000,0.000000,5.000000,4.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , ,0.208727, , ,0.035160, ,0.060658, , ,0.072240,0.109481, ,0.049708, ,0.053520, , , , ,0.013618,0.152820, , 
