AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge(000).spk
File Type,24-well

Analysis Start,240.000000
Analysis End,360.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,21.000000,89.000000,6180.000000,46.000000,0.000000,616.000000,4.000000,740.000000,676.000000,171.000000,2003.000000,1581.000000,3571.000000,381.000000,306.000000,347.000000,3.000000,17.000000,334.000000,1.000000,423.000000,677.000000,266.000000,172.000000
    Mean Firing Rate (Hz),0.010937,0.046354,3.218750,0.023958,0.000000,0.320833,0.002083,0.385417,0.352083,0.089063,1.043229,0.823438,1.859896,0.198437,0.159375,0.180729,0.001563,0.008854,0.173958,0.000521,0.220312,0.352604,0.138542,0.089583
    ISI Coefficient of Variation - Avg,1.540978,2.245566,5.042241,1.911197, ,1.758958, ,3.808285,3.950760,1.403168,2.190913,1.778788,5.481493,2.339158,3.001329,9.694188, ,1.675451,0.767567, ,2.102750,3.064535,8.028461,3.768635
    Number of Active Electrodes,1.000000,3.000000,14.000000,1.000000,0.000000,8.000000,0.000000,4.000000,11.000000,4.000000,10.000000,11.000000,15.000000,5.000000,3.000000,3.000000,0.000000,1.000000,2.000000,0.000000,7.000000,2.000000,2.000000,2.000000
    Weighted Mean Firing Rate (Hz),0.150000,0.147222,3.676786,0.325000, ,0.619792, ,1.537500,0.503030,0.166667,1.661667,1.194697,1.983889,0.630000,0.841667,0.897222, ,0.141667,1.391667, ,0.483333,2.629167,1.020833,0.700000
Electrode Burst Metrics
    Number of Bursts,0.000000,8.000000,202.000000,0.000000,0.000000,51.000000,0.000000,47.000000,46.000000,16.000000,119.000000,105.000000,94.000000,14.000000,15.000000,8.000000,0.000000,1.000000,0.000000,0.000000,24.000000,54.000000,10.000000,3.000000
    Number of Bursting Electrodes,0.000000,8.000000,13.000000,0.000000,0.000000,4.000000,0.000000,4.000000,10.000000,16.000000,6.000000,7.000000,12.000000,3.000000,3.000000,3.000000,0.000000,1.000000,0.000000,0.000000,7.000000,4.000000,3.000000,2.000000
    Burst Duration - Avg (sec), ,0.072030,0.148687, , ,0.042919, ,0.079970,0.071958,0.076825,0.090882,0.038717,0.369259,0.073268,0.130384,0.328893, ,0.057680, , ,0.087519,0.071425,0.169212,0.408680
    Burst Duration - Std (sec), ,0.038522,0.048924, , ,0.014447, ,0.028578,0.033751,0.022309,0.049063,0.017673,0.100167,0.019614,0.105764,0.046662, , , , ,0.085544,0.041247,0.130289,0.447966
    Number of Spikes per Burst - Avg, ,9.500000,29.463330, , ,7.902778, ,14.975379,13.386667,8.125000,11.709902,8.209357,38.730023,8.134921,11.904762,41.388889, ,12.000000, , ,8.637755,9.063725,20.433333,72.500000
    Number of Spikes per Burst - Std, ,5.529144,17.562701, , ,3.050121, ,7.622506,8.033928,2.156386,6.221927,2.602051,31.028017,2.977270,9.374666,24.227127, , , , ,5.951849,4.655789,15.759547,70.003571
    Mean ISI within Burst - Avg (sec), ,0.009830,0.006523, , ,0.006854, ,0.006234,0.007322,0.011272,0.008555,0.005146,0.014292,0.011019,0.012205,0.011740, ,0.005244, , ,0.011175,0.011262,0.008871,0.005082
    Mean ISI within Burst - Std (sec), ,0.004402,0.002832, , ,0.002045, ,0.002096,0.003962,0.003038,0.003455,0.001086,0.007039,0.002543,0.002213,0.010469, , , , ,0.005066,0.010110,0.004313,0.001292
    Median ISI within Burst - Avg (sec), ,0.004510,0.003282, , ,0.004226, ,0.004000,0.004880,0.005665,0.004682,0.003340,0.006872,0.006752,0.008057,0.005158, ,0.004640, , ,0.006912,0.005896,0.005271,0.003800
    Median ISI within Burst - Std (sec), ,0.001265,0.000637, , ,0.001150, ,0.000840,0.002436,0.002858,0.001798,0.000517,0.005488,0.004670,0.002467,0.003720, , , , ,0.005546,0.003048,0.002430,0.000509
