Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
Recording Name,WT hippocampal culture_22DIV_Agonists Challenge_1h after_25-04-2023,00000.010960,B6_14,0.037
Description,"WT hippocampal culture. Agonists challenge measured on 25.04.23, 22DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00000.045280,B6_43,0.026
,,00000.050960,B6_33,0.108
Maestro Edge (Maestro-) Settings,,00000.058720,B6_33,0.02
   Original File Time,04/25/2023 16:46:02,00000.118640,C3_24,0.015
   Sampling Frequency,12.5 kHz,00000.144720,B6_14,0.395
   Voltage Scale,5.484861781483107E-08 V/sample,00000.148240,B6_14,0.038
   Experiment Start Time,04/25/2023 12:45:44,00000.201200,B4_43,0.032
   Referencing Method,Median,00000.205760,B6_14,0.027
   Acquire Viability,On,00000.206640,B6_33,0.105
   Analog Mode Setting,Neural Spikes,00000.209040,B6_33,0.016
   Plate Type,CytoView MEA 24,00000.211200,B6_44,0.022
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.238320,B6_44,0.026
   Digital High Pass Filter,200 Hz IIR,00000.240640,B6_33,0.032
   Temperature Set Point,37.0 Degrees C,00000.328640,B1_33,0.023
   Current Temperature,37.0 Degrees C,00000.348160,B6_14,0.032
   Heater Power,On,00000.354080,A2_34,0.008
   Barcode Plate Type,TwentyFourWell,00000.362480,A2_34,0.01
   Plate Serial Number,100-0914,00000.363680,B5_13,0.028
   CO2 Conc. Set Point,5.0 %,00000.365200,A2_44,0.034
   Actual CO2 Conc.,5.0 %,00000.365440,A2_34,0.024
   Gas Mixer Status,Regulating,00000.366320,A2_43,0.026
   AxIS Version,3.6.2.2,00000.366720,A2_11,0.018
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00000.366800,A2_42,0.021
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00000.367200,A2_33,0.054
,,00000.367680,A2_34,0.176
AxIS Playback,,00000.368560,A2_44,0.031
   AxIS Version,3.6.2.2,00000.368960,A2_32,0.109
   File Name,WT hippocampal culture_22DIV_Agonists Challenge_1h after_25-04-2023(000).raw,00000.369280,A2_21,0.021
   Plate Type,CytoView MEA 24,00000.369760,A2_33,0.048
   Requested File Section,0s to 9m57s,00000.369920,A2_42,0.019
   Actual File Section Run,0s to 9m57s,00000.369920,A2_43,0.012
   Recording Offset from File Start,0s,00000.370480,A2_34,0.017
,,00000.371680,A2_11,0.033
Spike Detector Settings,,00000.372160,A2_21,0.057
   Method,Adaptive Threshold Crossing,00000.372320,A2_13,0.032
   Threshold,6,00000.372320,A2_33,0.024
   Threshold Status,Variable,00000.372560,A2_14,0.042
   Threshold Crossing Only,True,00000.372640,A2_32,0.03
   Pre-Spike Duration,0.84 ms,00000.372880,A2_43,0.014
   Post-Spike Duration,2.16 ms,00000.373920,A2_11,0.031
   Coincident Event Filter,Default (Well),00000.374640,A2_33,0.022
   Coincidence Occurrence Threshold,4 Electrodes,00000.374640,A2_34,0.031
   Coincidence Event Window,160 µs,00000.374720,A2_21,0.019
   Allow Sample Overlap,false,00000.374960,A2_14,0.02
   Spike Count Interval,1 s,00000.375200,A2_32,0.018
,,00000.375680,A2_44,0.014
,,00000.376000,A2_13,0.019
,,00000.376560,A2_11,0.012
,,00000.377200,A2_21,0.017
,,00000.378400,A2_34,0.016
,,00000.379120,A2_11,0.02
,,00000.385600,A2_34,0.02
,,00000.394400,B6_43,0.025
,,00000.399200,B6_33,0.028
,,00000.403600,B6_33,0.104
,,00000.406960,B6_33,0.023
,,00000.409680,A2_34,0.018
,,00000.444560,B6_14,0.028
,,00000.462560,D1_21,0.015
,,00000.465040,B6_14,0.377
,,00000.467280,B6_14,0.076
,,00000.471200,B6_14,0.035
,,00000.498560,B6_14,0.028
